MunicipalityCode,IndicatorColumn,Theme,Value,ValueParsed,Municipality,Province,MIIF_Category,Latitude,Longitude
DC10,PCT_WATER,Infrastructure,29.64874347045108,29.64874347045108,Sarah Baartman,EC,C1,-34.363287970702764,25.405095098422116
DC10,PCT_SAN,Infrastructure,11.951538104149748,11.951538104149748,Sarah Baartman,EC,C1,-34.363287970702764,25.405095098422116
DC10,PCT_ELEC,Infrastructure,23.153181226722353,23.153181226722353,Sarah Baartman,EC,C1,-34.363287970702764,25.405095098422116
DC10,REV_PC,Finance,28.36824460629758,28.36824460629758,Sarah Baartman,EC,C1,-34.363287970702764,25.405095098422116
DC10,GRANT_PCT,Finance,4.113044320310344,4.113044320310344,Sarah Baartman,EC,C1,-34.363287970702764,25.405095098422116
DC10,SURPLUS_PCT,Finance,2.3131667864135608,2.3131667864135608,Sarah Baartman,EC,C1,-34.363287970702764,25.405095098422116
DC10,POV_PCT,Poverty,39.6413367105105,39.6413367105105,Sarah Baartman,EC,C1,-34.363287970702764,25.405095098422116
DC10,GINI,Poverty,19.545626076606393,19.545626076606393,Sarah Baartman,EC,C1,-34.363287970702764,25.405095098422116
DC10,HIV_PCT,Health,21.294886836411344,21.294886836411344,Sarah Baartman,EC,C1,-34.363287970702764,25.405095098422116
DC10,MORT_CHILD,Health,45.6968807321627,45.6968807321627,Sarah Baartman,EC,C1,-34.363287970702764,25.405095098422116
DC10,MURDER,Safety,35.447395105484794,35.447395105484794,Sarah Baartman,EC,C1,-34.363287970702764,25.405095098422116
DC10,CRIME,Safety,15.72250351927032,15.72250351927032,Sarah Baartman,EC,C1,-34.363287970702764,25.405095098422116
DC10,AUDIT_CLEAN,Governance,3.66339577883517,3.66339577883517,Sarah Baartman,EC,C1,-34.363287970702764,25.405095098422116
DC10,UNAUTH_PCT,Governance,46.71615792628674,46.71615792628674,Sarah Baartman,EC,C1,-34.363287970702764,25.405095098422116
DC12,POP_2022,Demographics,41.98701245120859,41.98701245120859,Amathole,EC,B4,-34.588343073778155,25.917575473407204
DC12,POP_DENSITY,Demographics,82.65204565368147,82.65204565368147,Amathole,EC,B4,-34.588343073778155,25.917575473407204
DC12,POP_GROWTH_PCT,Demographics,43.403771974498746,43.403771974498746,Amathole,EC,B4,-34.588343073778155,25.917575473407204
DC12,PCT_WATER,Infrastructure,42.7540628252403,42.7540628252403,Amathole,EC,B4,-34.588343073778155,25.917575473407204
DC12,PCT_SAN,Infrastructure,31.661441397828696,31.661441397828696,Amathole,EC,B4,-34.588343073778155,25.917575473407204
DC12,PCT_ELEC,Infrastructure,51.33551734401582,51.33551734401582,Amathole,EC,B4,-34.588343073778155,25.917575473407204
DC12,REV_PC,Finance,47.501704024963075,47.501704024963075,Amathole,EC,B4,-34.588343073778155,25.917575473407204
DC12,GRANT_PCT,Finance,60.034500171303904,60.034500171303904,Amathole,EC,B4,-34.588343073778155,25.917575473407204
DC12,SURPLUS_PCT,Finance,24.573541627254304,24.573541627254304,Amathole,EC,B4,-34.588343073778155,25.917575473407204
DC12,POV_PCT,Poverty,26.291850541120752,26.291850541120752,Amathole,EC,B4,-34.588343073778155,25.917575473407204
DC12,GINI,Poverty,25.417936581760397,25.417936581760397,Amathole,EC,B4,-34.588343073778155,25.917575473407204
DC12,HIV_PCT,Health,50.81603442357978,50.81603442357978,Amathole,EC,B4,-34.588343073778155,25.917575473407204
DC12,MORT_CHILD,Health,64.96748880593464,64.96748880593464,Amathole,EC,B4,-34.588343073778155,25.917575473407204
DC12,MURDER,Safety,25.823190137013988,25.823190137013988,Amathole,EC,B4,-34.588343073778155,25.917575473407204
DC12,CRIME,Safety,26.504525444138174,26.504525444138174,Amathole,EC,B4,-34.588343073778155,25.917575473407204
DC12,AUDIT_CLEAN,Governance,41.28154447739598,41.28154447739598,Amathole,EC,B4,-34.588343073778155,25.917575473407204
DC12,UNAUTH_PCT,Governance,30.084769999741972,30.084769999741972,Amathole,EC,B4,-34.588343073778155,25.917575473407204
DC13,POP_2022,Demographics,59.0410730627978,59.0410730627978,Chris Hani,EC,B3,-34.011111348549385,24.864596852748672
DC13,POP_DENSITY,Demographics,5.035545812380931,5.035545812380931,Chris Hani,EC,B3,-34.011111348549385,24.864596852748672
DC13,POP_GROWTH_PCT,Demographics,23.465899061662107,23.465899061662107,Chris Hani,EC,B3,-34.011111348549385,24.864596852748672
DC13,PCT_WATER,Infrastructure,24.351673320771084,24.351673320771084,Chris Hani,EC,B3,-34.011111348549385,24.864596852748672
DC13,PCT_SAN,Infrastructure,6.407120247722901,6.407120247722901,Chris Hani,EC,B3,-34.011111348549385,24.864596852748672
DC13,PCT_ELEC,Infrastructure,20.72723111262392,20.72723111262392,Chris Hani,EC,B3,-34.011111348549385,24.864596852748672
DC13,REV_PC,Finance,21.69687768308148,21.69687768308148,Chris Hani,EC,B3,-34.011111348549385,24.864596852748672
DC13,GRANT_PCT,Finance,35.97790690962339,35.97790690962339,Chris Hani,EC,B3,-34.011111348549385,24.864596852748672
DC13,SURPLUS_PCT,Finance,62.25931783320527,62.25931783320527,Chris Hani,EC,B3,-34.011111348549385,24.864596852748672
DC13,POV_PCT,Poverty,35.098786976185956,35.098786976185956,Chris Hani,EC,B3,-34.011111348549385,24.864596852748672
DC13,GINI,Poverty,19.383725594576923,19.383725594576923,Chris Hani,EC,B3,-34.011111348549385,24.864596852748672
DC13,HIV_PCT,Health,38.86090917572942,38.86090917572942,Chris Hani,EC,B3,-34.011111348549385,24.864596852748672
DC13,MORT_CHILD,Health,60.983472428826985,60.983472428826985,Chris Hani,EC,B3,-34.011111348549385,24.864596852748672
DC13,MURDER,Safety,20.480823677701903,20.480823677701903,Chris Hani,EC,B3,-34.011111348549385,24.864596852748672
DC13,CRIME,Safety,21.788502321571027,21.788502321571027,Chris Hani,EC,B3,-34.011111348549385,24.864596852748672
DC13,AUDIT_CLEAN,Governance,51.17097918548447,51.17097918548447,Chris Hani,EC,B3,-34.011111348549385,24.864596852748672
DC13,UNAUTH_PCT,Governance,35.56927768538399,35.56927768538399,Chris Hani,EC,B3,-34.011111348549385,24.864596852748672
DC14,POP_2022,Demographics,52.94969381418949,52.94969381418949,Joe Gqabi,EC,B3,-34.40778954060377,25.7567569237251
DC14,POP_DENSITY,Demographics,39.72706416409407,39.72706416409407,Joe Gqabi,EC,B3,-34.40778954060377,25.7567569237251
DC14,POP_GROWTH_PCT,Demographics,54.03327296179134,54.03327296179134,Joe Gqabi,EC,B3,-34.40778954060377,25.7567569237251
DC14,PCT_WATER,Infrastructure,19.298437719187184,19.298437719187184,Joe Gqabi,EC,B3,-34.40778954060377,25.7567569237251
DC14,PCT_SAN,Infrastructure,39.75830698423465,39.75830698423465,Joe Gqabi,EC,B3,-34.40778954060377,25.7567569237251
DC14,PCT_ELEC,Infrastructure,35.78619971273686,35.78619971273686,Joe Gqabi,EC,B3,-34.40778954060377,25.7567569237251
DC14,REV_PC,Finance,15.682181517917385,15.682181517917385,Joe Gqabi,EC,B3,-34.40778954060377,25.7567569237251
DC14,GRANT_PCT,Finance,8.730441042626232,8.730441042626232,Joe Gqabi,EC,B3,-34.40778954060377,25.7567569237251
DC14,SURPLUS_PCT,Finance,53.71498070549323,53.71498070549323,Joe Gqabi,EC,B3,-34.40778954060377,25.7567569237251
DC14,POV_PCT,Poverty,32.98095235564044,32.98095235564044,Joe Gqabi,EC,B3,-34.40778954060377,25.7567569237251
DC14,GINI,Poverty,19.55439436705341,19.55439436705341,Joe Gqabi,EC,B3,-34.40778954060377,25.7567569237251
DC14,HIV_PCT,Health,38.076421261533355,38.076421261533355,Joe Gqabi,EC,B3,-34.40778954060377,25.7567569237251
DC14,MORT_CHILD,Health,62.560377146986056,62.560377146986056,Joe Gqabi,EC,B3,-34.40778954060377,25.7567569237251
DC14,MURDER,Safety,5.614756907438462,5.614756907438462,Joe Gqabi,EC,B3,-34.40778954060377,25.7567569237251
DC14,CRIME,Safety,10.067226201933472,10.067226201933472,Joe Gqabi,EC,B3,-34.40778954060377,25.7567569237251
DC14,AUDIT_CLEAN,Governance,21.54227116209465,21.54227116209465,Joe Gqabi,EC,B3,-34.40778954060377,25.7567569237251
DC14,UNAUTH_PCT,Governance,69.22357733440657,69.22357733440657,Joe Gqabi,EC,B3,-34.40778954060377,25.7567569237251
DC15,POP_2022,Demographics,30.651739658385928,30.651739658385928,O.R.Tambo,EC,C2,-33.48093671605281,26.598365445845893
DC15,POP_DENSITY,Demographics,40.34634480922453,40.34634480922453,O.R.Tambo,EC,C2,-33.48093671605281,26.598365445845893
DC15,POP_GROWTH_PCT,Demographics,2.196781617475388,2.196781617475388,O.R.Tambo,EC,C2,-33.48093671605281,26.598365445845893
DC15,PCT_WATER,Infrastructure,2.6092824945894755,2.6092824945894755,O.R.Tambo,EC,C2,-33.48093671605281,26.598365445845893
DC15,PCT_SAN,Infrastructure,33.95627433445421,33.95627433445421,O.R.Tambo,EC,C2,-33.48093671605281,26.598365445845893
DC15,PCT_ELEC,Infrastructure,26.165486618708933,26.165486618708933,O.R.Tambo,EC,C2,-33.48093671605281,26.598365445845893
DC15,REV_PC,Finance,35.97477637728253,35.97477637728253,O.R.Tambo,EC,C2,-33.48093671605281,26.598365445845893
DC15,GRANT_PCT,Finance,21.246580181430957,21.246580181430957,O.R.Tambo,EC,C2,-33.48093671605281,26.598365445845893
DC15,SURPLUS_PCT,Finance,30.56287452909254,30.56287452909254,O.R.Tambo,EC,C2,-33.48093671605281,26.598365445845893
DC15,POV_PCT,Poverty,28.162381698102184,28.162381698102184,O.R.Tambo,EC,C2,-33.48093671605281,26.598365445845893
DC15,GINI,Poverty,40.55534778169851,40.55534778169851,O.R.Tambo,EC,C2,-33.48093671605281,26.598365445845893
DC15,HIV_PCT,Health,41.140165638889414,41.140165638889414,O.R.Tambo,EC,C2,-33.48093671605281,26.598365445845893
DC15,MORT_CHILD,Health,7.397439887835397,7.397439887835397,O.R.Tambo,EC,C2,-33.48093671605281,26.598365445845893
DC15,MURDER,Safety,19.945371106817113,19.945371106817113,O.R.Tambo,EC,C2,-33.48093671605281,26.598365445845893
DC15,CRIME,Safety,45.03490795303014,45.03490795303014,O.R.Tambo,EC,C2,-33.48093671605281,26.598365445845893
DC15,AUDIT_CLEAN,Governance,48.75450186523873,48.75450186523873,O.R.Tambo,EC,C2,-33.48093671605281,26.598365445845893
DC15,UNAUTH_PCT,Governance,4.587539609733252,4.587539609733252,O.R.Tambo,EC,C2,-33.48093671605281,26.598365445845893
DC44,POP_2022,Demographics,22.80329186908743,22.80329186908743,Alfred Nzo,EC,A,-32.44306876699633,25.807204716638
DC44,POP_DENSITY,Demographics,61.98069642014402,61.98069642014402,Alfred Nzo,EC,A,-32.44306876699633,25.807204716638
DC44,POP_GROWTH_PCT,Demographics,78.61676452701059,78.61676452701059,Alfred Nzo,EC,A,-32.44306876699633,25.807204716638
DC44,PCT_WATER,Infrastructure,95.9518904486863,95.9518904486863,Alfred Nzo,EC,A,-32.44306876699633,25.807204716638
DC44,PCT_SAN,Infrastructure,70.32595144202902,70.32595144202902,Alfred Nzo,EC,A,-32.44306876699633,25.807204716638
DC44,PCT_ELEC,Infrastructure,52.5656660682861,52.5656660682861,Alfred Nzo,EC,A,-32.44306876699633,25.807204716638
DC44,REV_PC,Finance,42.13738756830274,42.13738756830274,Alfred Nzo,EC,A,-32.44306876699633,25.807204716638
DC44,GRANT_PCT,Finance,60.22902583341309,60.22902583341309,Alfred Nzo,EC,A,-32.44306876699633,25.807204716638
DC44,SURPLUS_PCT,Finance,54.01470592229487,54.01470592229487,Alfred Nzo,EC,A,-32.44306876699633,25.807204716638
DC44,POV_PCT,Poverty,39.698641885423676,39.698641885423676,Alfred Nzo,EC,A,-32.44306876699633,25.807204716638
DC44,GINI,Poverty,100.97511301726573,100.97511301726573,Alfred Nzo,EC,A,-32.44306876699633,25.807204716638
DC44,HIV_PCT,Health,95.70336804144262,95.70336804144262,Alfred Nzo,EC,A,-32.44306876699633,25.807204716638
DC44,MORT_CHILD,Health,82.72097367110857,82.72097367110857,Alfred Nzo,EC,A,-32.44306876699633,25.807204716638
DC44,MURDER,Safety,41.58299204381745,41.58299204381745,Alfred Nzo,EC,A,-32.44306876699633,25.807204716638
DC44,CRIME,Safety,77.10038648594558,77.10038648594558,Alfred Nzo,EC,A,-32.44306876699633,25.807204716638
DC44,AUDIT_CLEAN,Governance,72.79252818995803,72.79252818995803,Alfred Nzo,EC,A,-32.44306876699633,25.807204716638
DC44,UNAUTH_PCT,Governance,68.85091248408106,68.85091248408106,Alfred Nzo,EC,A,-32.44306876699633,25.807204716638
EC101,POP_2022,Demographics,59.993305340875544,59.993305340875544,Dr Beyers Naude,EC,B4,-34.39476906001593,24.533976859634347
EC101,POP_DENSITY,Demographics,47.70742285722555,47.70742285722555,Dr Beyers Naude,EC,B4,-34.39476906001593,24.533976859634347
EC101,POP_GROWTH_PCT,Demographics,49.80028472608671,49.80028472608671,Dr Beyers Naude,EC,B4,-34.39476906001593,24.533976859634347
EC101,PCT_WATER,Infrastructure,47.7381256674442,47.7381256674442,Dr Beyers Naude,EC,B4,-34.39476906001593,24.533976859634347
EC101,PCT_SAN,Infrastructure,41.815828160042116,41.815828160042116,Dr Beyers Naude,EC,B4,-34.39476906001593,24.533976859634347
EC101,PCT_ELEC,Infrastructure,0.6722225942836673,0.6722225942836673,Dr Beyers Naude,EC,B4,-34.39476906001593,24.533976859634347
EC101,REV_PC,Finance,36.67242154821115,36.67242154821115,Dr Beyers Naude,EC,B4,-34.39476906001593,24.533976859634347
EC101,GRANT_PCT,Finance,23.876160823017496,23.876160823017496,Dr Beyers Naude,EC,B4,-34.39476906001593,24.533976859634347
EC101,SURPLUS_PCT,Finance,9.40318084719959,9.40318084719959,Dr Beyers Naude,EC,B4,-34.39476906001593,24.533976859634347
EC101,POV_PCT,Poverty,68.63633238601648,68.63633238601648,Dr Beyers Naude,EC,B4,-34.39476906001593,24.533976859634347
EC101,GINI,Poverty,69.57990681771406,69.57990681771406,Dr Beyers Naude,EC,B4,-34.39476906001593,24.533976859634347
EC101,HIV_PCT,Health,62.184412005912236,62.184412005912236,Dr Beyers Naude,EC,B4,-34.39476906001593,24.533976859634347
EC101,MORT_CHILD,Health,40.10426833711749,40.10426833711749,Dr Beyers Naude,EC,B4,-34.39476906001593,24.533976859634347
EC101,MURDER,Safety,62.012502419053135,62.012502419053135,Dr Beyers Naude,EC,B4,-34.39476906001593,24.533976859634347
EC101,CRIME,Safety,35.24106361203651,35.24106361203651,Dr Beyers Naude,EC,B4,-34.39476906001593,24.533976859634347
EC101,AUDIT_CLEAN,Governance,39.05594553795559,39.05594553795559,Dr Beyers Naude,EC,B4,-34.39476906001593,24.533976859634347
EC101,UNAUTH_PCT,Governance,13.130572590760341,13.130572590760341,Dr Beyers Naude,EC,B4,-34.39476906001593,24.533976859634347
EC102,POP_2022,Demographics,57.9398260899768,57.9398260899768,Blue Crane Route,EC,B1,-33.76614426882808,25.193529452344837
EC102,POP_DENSITY,Demographics,51.20771856848834,51.20771856848834,Blue Crane Route,EC,B1,-33.76614426882808,25.193529452344837
EC102,POP_GROWTH_PCT,Demographics,23.946957663310712,23.946957663310712,Blue Crane Route,EC,B1,-33.76614426882808,25.193529452344837
EC102,PCT_WATER,Infrastructure,48.97605776366806,48.97605776366806,Blue Crane Route,EC,B1,-33.76614426882808,25.193529452344837
EC102,PCT_SAN,Infrastructure,48.40540872286383,48.40540872286383,Blue Crane Route,EC,B1,-33.76614426882808,25.193529452344837
EC102,PCT_ELEC,Infrastructure,85.9512233328928,85.9512233328928,Blue Crane Route,EC,B1,-33.76614426882808,25.193529452344837
EC102,REV_PC,Finance,67.88426657026818,67.88426657026818,Blue Crane Route,EC,B1,-33.76614426882808,25.193529452344837
EC102,GRANT_PCT,Finance,50.22890878182932,50.22890878182932,Blue Crane Route,EC,B1,-33.76614426882808,25.193529452344837
EC102,SURPLUS_PCT,Finance,54.97574619602166,54.97574619602166,Blue Crane Route,EC,B1,-33.76614426882808,25.193529452344837
EC102,POV_PCT,Poverty,50.884247562083964,50.884247562083964,Blue Crane Route,EC,B1,-33.76614426882808,25.193529452344837
EC102,GINI,Poverty,45.941720304089046,45.941720304089046,Blue Crane Route,EC,B1,-33.76614426882808,25.193529452344837
EC102,HIV_PCT,Health,28.351456052234262,28.351456052234262,Blue Crane Route,EC,B1,-33.76614426882808,25.193529452344837
EC102,MORT_CHILD,Health,46.97896244786141,46.97896244786141,Blue Crane Route,EC,B1,-33.76614426882808,25.193529452344837
EC102,MURDER,Safety,35.078034866949736,35.078034866949736,Blue Crane Route,EC,B1,-33.76614426882808,25.193529452344837
EC102,CRIME,Safety,24.99368922153707,24.99368922153707,Blue Crane Route,EC,B1,-33.76614426882808,25.193529452344837
EC102,AUDIT_CLEAN,Governance,60.22443629095069,60.22443629095069,Blue Crane Route,EC,B1,-33.76614426882808,25.193529452344837
EC102,UNAUTH_PCT,Governance,57.825293198664696,57.825293198664696,Blue Crane Route,EC,B1,-33.76614426882808,25.193529452344837
EC104,POP_2022,Demographics,24.26584977263844,24.26584977263844,Makana,EC,A,-34.10767863008984,25.2939516004701
EC104,POP_DENSITY,Demographics,57.546307250097456,57.546307250097456,Makana,EC,A,-34.10767863008984,25.2939516004701
EC104,POP_GROWTH_PCT,Demographics,79.91402771799847,79.91402771799847,Makana,EC,A,-34.10767863008984,25.2939516004701
EC104,PCT_WATER,Infrastructure,81.18447477792643,81.18447477792643,Makana,EC,A,-34.10767863008984,25.2939516004701
EC104,PCT_SAN,Infrastructure,80.51673685770477,80.51673685770477,Makana,EC,A,-34.10767863008984,25.2939516004701
EC104,PCT_ELEC,Infrastructure,60.77826413802919,60.77826413802919,Makana,EC,A,-34.10767863008984,25.2939516004701
EC104,REV_PC,Finance,43.09909344061698,43.09909344061698,Makana,EC,A,-34.10767863008984,25.2939516004701
EC104,GRANT_PCT,Finance,38.32602345283879,38.32602345283879,Makana,EC,A,-34.10767863008984,25.2939516004701
EC104,SURPLUS_PCT,Finance,66.89209809500716,66.89209809500716,Makana,EC,A,-34.10767863008984,25.2939516004701
EC104,POV_PCT,Poverty,67.58560068730326,67.58560068730326,Makana,EC,A,-34.10767863008984,25.2939516004701
EC104,GINI,Poverty,85.74662223210132,85.74662223210132,Makana,EC,A,-34.10767863008984,25.2939516004701
EC104,HIV_PCT,Health,81.99959300684168,81.99959300684168,Makana,EC,A,-34.10767863008984,25.2939516004701
EC104,MORT_CHILD,Health,57.35542686937656,57.35542686937656,Makana,EC,A,-34.10767863008984,25.2939516004701
EC104,MURDER,Safety,35.11588242278261,35.11588242278261,Makana,EC,A,-34.10767863008984,25.2939516004701
EC104,CRIME,Safety,53.61786805978204,53.61786805978204,Makana,EC,A,-34.10767863008984,25.2939516004701
EC104,AUDIT_CLEAN,Governance,64.34462389621049,64.34462389621049,Makana,EC,A,-34.10767863008984,25.2939516004701
EC104,UNAUTH_PCT,Governance,55.95833509221192,55.95833509221192,Makana,EC,A,-34.10767863008984,25.2939516004701
EC105,POP_2022,Demographics,28.442117838446883,28.442117838446883,Ndlambe,EC,B3,-33.97039544320819,26.132990115393824
EC105,POP_DENSITY,Demographics,45.057696299397975,45.057696299397975,Ndlambe,EC,B3,-33.97039544320819,26.132990115393824
EC105,POP_GROWTH_PCT,Demographics,29.92084517178779,29.92084517178779,Ndlambe,EC,B3,-33.97039544320819,26.132990115393824
EC105,PCT_WATER,Infrastructure,27.43867832549252,27.43867832549252,Ndlambe,EC,B3,-33.97039544320819,26.132990115393824
EC105,PCT_SAN,Infrastructure,46.22905668606879,46.22905668606879,Ndlambe,EC,B3,-33.97039544320819,26.132990115393824
EC105,PCT_ELEC,Infrastructure,31.960148397415903,31.960148397415903,Ndlambe,EC,B3,-33.97039544320819,26.132990115393824
EC105,REV_PC,Finance,44.882087779567044,44.882087779567044,Ndlambe,EC,B3,-33.97039544320819,26.132990115393824
EC105,GRANT_PCT,Finance,45.464080457042456,45.464080457042456,Ndlambe,EC,B3,-33.97039544320819,26.132990115393824
EC105,SURPLUS_PCT,Finance,17.211419978168507,17.211419978168507,Ndlambe,EC,B3,-33.97039544320819,26.132990115393824
EC105,POV_PCT,Poverty,30.375177522691757,30.375177522691757,Ndlambe,EC,B3,-33.97039544320819,26.132990115393824
EC105,GINI,Poverty,68.75553879832924,68.75553879832924,Ndlambe,EC,B3,-33.97039544320819,26.132990115393824
EC105,HIV_PCT,Health,16.758409745314257,16.758409745314257,Ndlambe,EC,B3,-33.97039544320819,26.132990115393824
EC105,MORT_CHILD,Health,2.3330889794106184,2.3330889794106184,Ndlambe,EC,B3,-33.97039544320819,26.132990115393824
EC105,MURDER,Safety,2.7630969351497683,2.7630969351497683,Ndlambe,EC,B3,-33.97039544320819,26.132990115393824
EC105,CRIME,Safety,40.582198931533384,40.582198931533384,Ndlambe,EC,B3,-33.97039544320819,26.132990115393824
EC105,AUDIT_CLEAN,Governance,40.61834556065398,40.61834556065398,Ndlambe,EC,B3,-33.97039544320819,26.132990115393824
EC105,UNAUTH_PCT,Governance,37.647782891497585,37.647782891497585,Ndlambe,EC,B3,-33.97039544320819,26.132990115393824
EC106,POP_2022,Demographics,49.28379657857003,49.28379657857003,Sundays River Valley,EC,C2,-33.82147571627733,25.520682581480656
EC106,POP_DENSITY,Demographics,28.45668866205876,28.45668866205876,Sundays River Valley,EC,C2,-33.82147571627733,25.520682581480656
EC106,POP_GROWTH_PCT,Demographics,32.918677488616474,32.918677488616474,Sundays River Valley,EC,C2,-33.82147571627733,25.520682581480656
EC106,PCT_WATER,Infrastructure,56.22876403607147,56.22876403607147,Sundays River Valley,EC,C2,-33.82147571627733,25.520682581480656
EC106,PCT_SAN,Infrastructure,2.4443847021657206,2.4443847021657206,Sundays River Valley,EC,C2,-33.82147571627733,25.520682581480656
EC106,PCT_ELEC,Infrastructure,17.4038697642021,17.4038697642021,Sundays River Valley,EC,C2,-33.82147571627733,25.520682581480656
EC106,REV_PC,Finance,9.942161655427581,9.942161655427581,Sundays River Valley,EC,C2,-33.82147571627733,25.520682581480656
EC106,GRANT_PCT,Finance,7.113079078449424,7.113079078449424,Sundays River Valley,EC,C2,-33.82147571627733,25.520682581480656
EC106,SURPLUS_PCT,Finance,18.4747598995392,18.4747598995392,Sundays River Valley,EC,C2,-33.82147571627733,25.520682581480656
EC106,POV_PCT,Poverty,53.54970567369009,53.54970567369009,Sundays River Valley,EC,C2,-33.82147571627733,25.520682581480656
EC106,GINI,Poverty,61.747733509750404,61.747733509750404,Sundays River Valley,EC,C2,-33.82147571627733,25.520682581480656
EC106,HIV_PCT,Health,18.281215499197046,18.281215499197046,Sundays River Valley,EC,C2,-33.82147571627733,25.520682581480656
EC106,MORT_CHILD,Health,63.101204281289405,63.101204281289405,Sundays River Valley,EC,C2,-33.82147571627733,25.520682581480656
EC106,MURDER,Safety,25.711529539692496,25.711529539692496,Sundays River Valley,EC,C2,-33.82147571627733,25.520682581480656
EC106,CRIME,Safety,60.07382053402162,60.07382053402162,Sundays River Valley,EC,C2,-33.82147571627733,25.520682581480656
EC106,AUDIT_CLEAN,Governance,23.134027006930165,23.134027006930165,Sundays River Valley,EC,C2,-33.82147571627733,25.520682581480656
EC106,UNAUTH_PCT,Governance,27.621156520922888,27.621156520922888,Sundays River Valley,EC,C2,-33.82147571627733,25.520682581480656
EC108,POP_2022,Demographics,37.30948945285669,37.30948945285669,Kouga,EC,C1,-34.4178268764129,24.762658527647822
EC108,POP_DENSITY,Demographics,93.5770735873507,93.5770735873507,Kouga,EC,C1,-34.4178268764129,24.762658527647822
EC108,POP_GROWTH_PCT,Demographics,47.02571149689578,47.02571149689578,Kouga,EC,C1,-34.4178268764129,24.762658527647822
EC108,PCT_WATER,Infrastructure,15.854709400970728,15.854709400970728,Kouga,EC,C1,-34.4178268764129,24.762658527647822
EC108,PCT_SAN,Infrastructure,49.37995740551716,49.37995740551716,Kouga,EC,C1,-34.4178268764129,24.762658527647822
EC108,PCT_ELEC,Infrastructure,22.76334925831317,22.76334925831317,Kouga,EC,C1,-34.4178268764129,24.762658527647822
EC108,REV_PC,Finance,20.204996341975818,20.204996341975818,Kouga,EC,C1,-34.4178268764129,24.762658527647822
EC108,GRANT_PCT,Finance,48.172027197842226,48.172027197842226,Kouga,EC,C1,-34.4178268764129,24.762658527647822
EC108,SURPLUS_PCT,Finance,30.621711755423057,30.621711755423057,Kouga,EC,C1,-34.4178268764129,24.762658527647822
EC108,POV_PCT,Poverty,35.57151829023612,35.57151829023612,Kouga,EC,C1,-34.4178268764129,24.762658527647822
EC108,GINI,Poverty,30.27970443730585,30.27970443730585,Kouga,EC,C1,-34.4178268764129,24.762658527647822
EC108,HIV_PCT,Health,36.73166253210869,36.73166253210869,Kouga,EC,C1,-34.4178268764129,24.762658527647822
EC108,MORT_CHILD,Health,38.49931794872298,38.49931794872298,Kouga,EC,C1,-34.4178268764129,24.762658527647822
EC108,MURDER,Safety,8.739338654108309,8.739338654108309,Kouga,EC,C1,-34.4178268764129,24.762658527647822
EC108,CRIME,Safety,43.33145337219067,43.33145337219067,Kouga,EC,C1,-34.4178268764129,24.762658527647822
