MunicipalityCode;IndicatorID;Year;ValueRaw;ValueParsed
FS201;SAFE_CRIME_MURDER_COUNT;2022/2023;86;86
FS203;SAFE_CRIME_MURDER_COUNT;2022/2023;67;67
FS204;SAFE_CRIME_MURDER_COUNT;2022/2023;242;242
FS205;SAFE_CRIME_MURDER_COUNT;2022/2023;27;27
GT421;SAFE_CRIME_MURDER_COUNT;2022/2023;490;490
GT422;SAFE_CRIME_MURDER_COUNT;2022/2023;201;201
GT423;SAFE_CRIME_MURDER_COUNT;2022/2023;69;69
GT481;SAFE_CRIME_MURDER_COUNT;2022/2023;362;362
GT484;SAFE_CRIME_MURDER_COUNT;2022/2023;288;288
GT485;SAFE_CRIME_MURDER_COUNT;2022/2023;376;376
JHB;SAFE_CRIME_MURDER_COUNT;2022/2023;5188;5188
KZN212;SAFE_CRIME_MURDER_COUNT;2022/2023;134;134
KZN213;SAFE_CRIME_MURDER_COUNT;2022/2023;57;57
KZN214;SAFE_CRIME_MURDER_COUNT;2022/2023;79;79
KZN216;SAFE_CRIME_MURDER_COUNT;2022/2023;530;530
KZN221;SAFE_CRIME_MURDER_COUNT;2022/2023;110;110
KZN222;SAFE_CRIME_MURDER_COUNT;2022/2023;95;95
KZN223;SAFE_CRIME_MURDER_COUNT;2022/2023;24;24
KZN224;SAFE_CRIME_MURDER_COUNT;2022/2023;26;26
KZN226;SAFE_CRIME_MURDER_COUNT;2022/2023;47;47
KZN227;SAFE_CRIME_MURDER_COUNT;2022/2023;81;81
KZN235;SAFE_CRIME_MURDER_COUNT;2022/2023;105;105
KZN237;SAFE_CRIME_MURDER_COUNT;2022/2023;319;319
KZN238;SAFE_CRIME_MURDER_COUNT;2022/2023;398;398
KZN241;SAFE_CRIME_MURDER_COUNT;2022/2023;47;47
KZN242;SAFE_CRIME_MURDER_COUNT;2022/2023;64;64
KZN244;SAFE_CRIME_MURDER_COUNT;2022/2023;186;186
KZN245;SAFE_CRIME_MURDER_COUNT;2022/2023;192;192
KZN252;SAFE_CRIME_MURDER_COUNT;2022/2023;175;175
KZN253;SAFE_CRIME_MURDER_COUNT;2022/2023;18;18
KZN254;SAFE_CRIME_MURDER_COUNT;2022/2023;63;63
KZN261;SAFE_CRIME_MURDER_COUNT;2022/2023;69;69
KZN262;SAFE_CRIME_MURDER_COUNT;2022/2023;64;64
KZN263;SAFE_CRIME_MURDER_COUNT;2022/2023;117;117
KZN265;SAFE_CRIME_MURDER_COUNT;2022/2023;101;101
KZN266;SAFE_CRIME_MURDER_COUNT;2022/2023;154;154
KZN271;SAFE_CRIME_MURDER_COUNT;2022/2023;77;77
KZN272;SAFE_CRIME_MURDER_COUNT;2022/2023;99;99
KZN275;SAFE_CRIME_MURDER_COUNT;2022/2023;134;134
KZN276;SAFE_CRIME_MURDER_COUNT;2022/2023;61;61
KZN281;SAFE_CRIME_MURDER_COUNT;2022/2023;87;87
KZN282;SAFE_CRIME_MURDER_COUNT;2022/2023;532;532
KZN284;SAFE_CRIME_MURDER_COUNT;2022/2023;293;293
KZN285;SAFE_CRIME_MURDER_COUNT;2022/2023;16;16
KZN286;SAFE_CRIME_MURDER_COUNT;2022/2023;83;83
KZN291;SAFE_CRIME_MURDER_COUNT;2022/2023;156;156
KZN292;SAFE_CRIME_MURDER_COUNT;2022/2023;367;367
KZN293;SAFE_CRIME_MURDER_COUNT;2022/2023;169;169
KZN294;SAFE_CRIME_MURDER_COUNT;2022/2023;5;5
KZN433;SAFE_CRIME_MURDER_COUNT;2022/2023;51;51
KZN434;SAFE_CRIME_MURDER_COUNT;2022/2023;108;108
KZN435;SAFE_CRIME_MURDER_COUNT;2022/2023;101;101
LIM331;SAFE_CRIME_MURDER_COUNT;2022/2023;46;46
LIM332;SAFE_CRIME_MURDER_COUNT;2022/2023;56;56
LIM333;SAFE_CRIME_MURDER_COUNT;2022/2023;97;97
LIM334;SAFE_CRIME_MURDER_COUNT;2022/2023;59;59
LIM335;SAFE_CRIME_MURDER_COUNT;2022/2023;6;6
LIM341;SAFE_CRIME_MURDER_COUNT;2022/2023;86;86
LIM343;SAFE_CRIME_MURDER_COUNT;2022/2023;175;175
LIM344;SAFE_CRIME_MURDER_COUNT;2022/2023;189;189
LIM345;SAFE_CRIME_MURDER_COUNT;2022/2023;66;66
LIM351;SAFE_CRIME_MURDER_COUNT;2022/2023;31;31
LIM353;SAFE_CRIME_MURDER_COUNT;2022/2023;26;26
LIM354;SAFE_CRIME_MURDER_COUNT;2022/2023;314;314
LIM355;SAFE_CRIME_MURDER_COUNT;2022/2023;92;92
LIM361;SAFE_CRIME_MURDER_COUNT;2022/2023;20;20
LIM362;SAFE_CRIME_MURDER_COUNT;2022/2023;32;32
LIM366;SAFE_CRIME_MURDER_COUNT;2022/2023;33;33
LIM367;SAFE_CRIME_MURDER_COUNT;2022/2023;101;101
LIM368;SAFE_CRIME_MURDER_COUNT;2022/2023;33;33
LIM471;SAFE_CRIME_MURDER_COUNT;2022/2023;44;44
LIM472;SAFE_CRIME_MURDER_COUNT;2022/2023;165;165
LIM473;SAFE_CRIME_MURDER_COUNT;2022/2023;155;155
LIM476;SAFE_CRIME_MURDER_COUNT;2022/2023;130;130
MAN;SAFE_CRIME_MURDER_COUNT;2022/2023;634;634
MP301;SAFE_CRIME_MURDER_COUNT;2022/2023;110;110
MP302;SAFE_CRIME_MURDER_COUNT;2022/2023;134;134
MP303;SAFE_CRIME_MURDER_COUNT;2022/2023;105;105
MP304;SAFE_CRIME_MURDER_COUNT;2022/2023;31;31
MP305;SAFE_CRIME_MURDER_COUNT;2022/2023;66;66
MP306;SAFE_CRIME_MURDER_COUNT;2022/2023;15;15
MP307;SAFE_CRIME_MURDER_COUNT;2022/2023;165;165
MP311;SAFE_CRIME_MURDER_COUNT;2022/2023;164;164
MP312;SAFE_CRIME_MURDER_COUNT;2022/2023;377;377
MP313;SAFE_CRIME_MURDER_COUNT;2022/2023;76;76
MP314;SAFE_CRIME_MURDER_COUNT;2022/2023;21;21
MP315;SAFE_CRIME_MURDER_COUNT;2022/2023;225;225
MP316;SAFE_CRIME_MURDER_COUNT;2022/2023;118;118
MP321;SAFE_CRIME_MURDER_COUNT;2022/2023;58;58
MP324;SAFE_CRIME_MURDER_COUNT;2022/2023;128;128
MP325;SAFE_CRIME_MURDER_COUNT;2022/2023;361;361
NC061;SAFE_CRIME_MURDER_COUNT;2022/2023;34;34
NC062;SAFE_CRIME_MURDER_COUNT;2022/2023;96;96
NC064;SAFE_CRIME_MURDER_COUNT;2022/2023;18;18
NC065;SAFE_CRIME_MURDER_COUNT;2022/2023;29;29
NC066;SAFE_CRIME_MURDER_COUNT;2022/2023;18;18
NC071;SAFE_CRIME_MURDER_COUNT;2022/2023;47;47
NC072;SAFE_CRIME_MURDER_COUNT;2022/2023;67;67
NC073;SAFE_CRIME_MURDER_COUNT;2022/2023;114;114
NC074;SAFE_CRIME_MURDER_COUNT;2022/2023;30;30
NC075;SAFE_CRIME_MURDER_COUNT;2022/2023;32;32
NC076;SAFE_CRIME_MURDER_COUNT;2022/2023;15;15
NC077;SAFE_CRIME_MURDER_COUNT;2022/2023;81;81
NC078;SAFE_CRIME_MURDER_COUNT;2022/2023;49;49
NC082;SAFE_CRIME_MURDER_COUNT;2022/2023;140;140
NC084;SAFE_CRIME_MURDER_COUNT;2022/2023;25;25
NC085;SAFE_CRIME_MURDER_COUNT;2022/2023;84;84
NC086;SAFE_CRIME_MURDER_COUNT;2022/2023;25;25
NC087;SAFE_CRIME_MURDER_COUNT;2022/2023;200;200
NC091;SAFE_CRIME_MURDER_COUNT;2022/2023;511;511
NC092;SAFE_CRIME_MURDER_COUNT;2022/2023;43;43
NC093;SAFE_CRIME_MURDER_COUNT;2022/2023;26;26
NC094;SAFE_CRIME_MURDER_COUNT;2022/2023;81;81
NC451;SAFE_CRIME_MURDER_COUNT;2022/2023;40;40
NC452;SAFE_CRIME_MURDER_COUNT;2022/2023;159;159
NC453;SAFE_CRIME_MURDER_COUNT;2022/2023;47;47
NMA;SAFE_CRIME_MURDER_COUNT;2022/2023;2166;2166
NW371;SAFE_CRIME_MURDER_COUNT;2022/2023;27;27
NW372;SAFE_CRIME_MURDER_COUNT;2022/2023;335;335
NW373;SAFE_CRIME_MURDER_COUNT;2022/2023;571;571
NW374;SAFE_CRIME_MURDER_COUNT;2022/2023;18;18
NW375;SAFE_CRIME_MURDER_COUNT;2022/2023;120;120
NW381;SAFE_CRIME_MURDER_COUNT;2022/2023;33;33
NW382;SAFE_CRIME_MURDER_COUNT;2022/2023;49;49
NW383;SAFE_CRIME_MURDER_COUNT;2022/2023;115;115
NW384;SAFE_CRIME_MURDER_COUNT;2022/2023;65;65
NW385;SAFE_CRIME_MURDER_COUNT;2022/2023;41;41
NW392;SAFE_CRIME_MURDER_COUNT;2022/2023;26;26
NW393;SAFE_CRIME_MURDER_COUNT;2022/2023;12;12
NW394;SAFE_CRIME_MURDER_COUNT;2022/2023;55;55
NW396;SAFE_CRIME_MURDER_COUNT;2022/2023;18;18
NW397;SAFE_CRIME_MURDER_COUNT;2022/2023;53;53
NW403;SAFE_CRIME_MURDER_COUNT;2022/2023;415;415
NW404;SAFE_CRIME_MURDER_COUNT;2022/2023;48;48
TSH;SAFE_CRIME_MURDER_COUNT;2022/2023;2094;2094
WC011;SAFE_CRIME_MURDER_COUNT;2022/2023;26;26
WC012;SAFE_CRIME_MURDER_COUNT;2022/2023;44;44
WC013;SAFE_CRIME_MURDER_COUNT;2022/2023;25;25
WC014;SAFE_CRIME_MURDER_COUNT;2022/2023;85;85
WC015;SAFE_CRIME_MURDER_COUNT;2022/2023;111;111
WC022;SAFE_CRIME_MURDER_COUNT;2022/2023;122;122
WC023;SAFE_CRIME_MURDER_COUNT;2022/2023;215;215
WC024;SAFE_CRIME_MURDER_COUNT;2022/2023;148;148
WC025;SAFE_CRIME_MURDER_COUNT;2022/2023;197;197
WC026;SAFE_CRIME_MURDER_COUNT;2022/2023;107;107
WC031;SAFE_CRIME_MURDER_COUNT;2022/2023;184;184
WC032;SAFE_CRIME_MURDER_COUNT;2022/2023;87;87
WC033;SAFE_CRIME_MURDER_COUNT;2022/2023;28;28
WC034;SAFE_CRIME_MURDER_COUNT;2022/2023;30;30
WC041;SAFE_CRIME_MURDER_COUNT;2022/2023;11;11
WC042;SAFE_CRIME_MURDER_COUNT;2022/2023;22;22
WC043;SAFE_CRIME_MURDER_COUNT;2022/2023;80;80
WC044;SAFE_CRIME_MURDER_COUNT;2022/2023;198;198
WC045;SAFE_CRIME_MURDER_COUNT;2022/2023;100;100
WC047;SAFE_CRIME_MURDER_COUNT;2022/2023;17;17
WC048;SAFE_CRIME_MURDER_COUNT;2022/2023;44;44
WC051;SAFE_CRIME_MURDER_COUNT;2022/2023;5;5
WC052;SAFE_CRIME_MURDER_COUNT;2022/2023;2;2
WC053;SAFE_CRIME_MURDER_COUNT;2022/2023;47;47
BUF;SAFE_CRIME_ASSAULT_COUNT;2022/2023;7187;7187
CPT;SAFE_CRIME_ASSAULT_COUNT;2022/2023;34795;34795
EC101;SAFE_CRIME_ASSAULT_COUNT;2022/2023;1025;1025
EC102;SAFE_CRIME_ASSAULT_COUNT;2022/2023;329;329
EC104;SAFE_CRIME_ASSAULT_COUNT;2022/2023;1047;1047
EC105;SAFE_CRIME_ASSAULT_COUNT;2022/2023;751;751
EC106;SAFE_CRIME_ASSAULT_COUNT;2022/2023;780;780
EC108;SAFE_CRIME_ASSAULT_COUNT;2022/2023;883;883
EC109;SAFE_CRIME_ASSAULT_COUNT;2022/2023;464;464
EC121;SAFE_CRIME_ASSAULT_COUNT;2022/2023;859;859
EC122;SAFE_CRIME_ASSAULT_COUNT;2022/2023;1265;1265
EC123;SAFE_CRIME_ASSAULT_COUNT;2022/2023;201;201
EC124;SAFE_CRIME_ASSAULT_COUNT;2022/2023;823;823
EC126;SAFE_CRIME_ASSAULT_COUNT;2022/2023;311;311
EC129;SAFE_CRIME_ASSAULT_COUNT;2022/2023;1443;1443
EC131;SAFE_CRIME_ASSAULT_COUNT;2022/2023;791;791
EC135;SAFE_CRIME_ASSAULT_COUNT;2022/2023;415;415
EC137;SAFE_CRIME_ASSAULT_COUNT;2022/2023;438;438
EC138;SAFE_CRIME_ASSAULT_COUNT;2022/2023;381;381
EC139;SAFE_CRIME_ASSAULT_COUNT;2022/2023;2186;2186
EC141;SAFE_CRIME_ASSAULT_COUNT;2022/2023;732;732
EC142;SAFE_CRIME_ASSAULT_COUNT;2022/2023;1144;1144
EC145;SAFE_CRIME_ASSAULT_COUNT;2022/2023;943;943
EC153;SAFE_CRIME_ASSAULT_COUNT;2022/2023;1162;1162
EC154;SAFE_CRIME_ASSAULT_COUNT;2022/2023;282;282
EC155;SAFE_CRIME_ASSAULT_COUNT;2022/2023;924;924
EC156;SAFE_CRIME_ASSAULT_COUNT;2022/2023;730;730
EC157;SAFE_CRIME_ASSAULT_COUNT;2022/2023;2103;2103
EC441;SAFE_CRIME_ASSAULT_COUNT;2022/2023;760;760
EC442;SAFE_CRIME_ASSAULT_COUNT;2022/2023;888;888
EC444;SAFE_CRIME_ASSAULT_COUNT;2022/2023;407;407
EKU;SAFE_CRIME_ASSAULT_COUNT;2022/2023;20571;20571
ETH;SAFE_CRIME_ASSAULT_COUNT;2022/2023;19158;19158
FS161;SAFE_CRIME_ASSAULT_COUNT;2022/2023;404;404
FS162;SAFE_CRIME_ASSAULT_COUNT;2022/2023;529;529
FS163;SAFE_CRIME_ASSAULT_COUNT;2022/2023;290;290
FS181;SAFE_CRIME_ASSAULT_COUNT;2022/2023;814;814
FS182;SAFE_CRIME_ASSAULT_COUNT;2022/2023;426;426
FS183;SAFE_CRIME_ASSAULT_COUNT;2022/2023;640;640
FS184;SAFE_CRIME_ASSAULT_COUNT;2022/2023;4266;4266
FS185;SAFE_CRIME_ASSAULT_COUNT;2022/2023;1066;1066
FS191;SAFE_CRIME_ASSAULT_COUNT;2022/2023;885;885
FS192;SAFE_CRIME_ASSAULT_COUNT;2022/2023;618;618
FS193;SAFE_CRIME_ASSAULT_COUNT;2022/2023;461;461
FS194;SAFE_CRIME_ASSAULT_COUNT;2022/2023;2263;2263
FS195;SAFE_CRIME_ASSAULT_COUNT;2022/2023;350;350
FS196;SAFE_CRIME_ASSAULT_COUNT;2022/2023;450;450
FS201;SAFE_CRIME_ASSAULT_COUNT;2022/2023;1536;1536
FS203;SAFE_CRIME_ASSAULT_COUNT;2022/2023;1065;1065
FS204;SAFE_CRIME_ASSAULT_COUNT;2022/2023;1412;1412
FS205;SAFE_CRIME_ASSAULT_COUNT;2022/2023;481;481
GT421;SAFE_CRIME_ASSAULT_COUNT;2022/2023;3194;3194
GT422;SAFE_CRIME_ASSAULT_COUNT;2022/2023;727;727
GT423;SAFE_CRIME_ASSAULT_COUNT;2022/2023;700;700
GT481;SAFE_CRIME_ASSAULT_COUNT;2022/2023;2993;2993
GT484;SAFE_CRIME_ASSAULT_COUNT;2022/2023;1562;1562
GT485;SAFE_CRIME_ASSAULT_COUNT;2022/2023;2458;2458
JHB;SAFE_CRIME_ASSAULT_COUNT;2022/2023;33735;33735
KZN212;SAFE_CRIME_ASSAULT_COUNT;2022/2023;575;575
KZN213;SAFE_CRIME_ASSAULT_COUNT;2022/2023;286;286
KZN214;SAFE_CRIME_ASSAULT_COUNT;2022/2023;223;223
KZN216;SAFE_CRIME_ASSAULT_COUNT;2022/2023;2478;2478
KZN221;SAFE_CRIME_ASSAULT_COUNT;2022/2023;338;338
KZN222;SAFE_CRIME_ASSAULT_COUNT;2022/2023;395;395
KZN223;SAFE_CRIME_ASSAULT_COUNT;2022/2023;158;158
KZN224;SAFE_CRIME_ASSAULT_COUNT;2022/2023;159;159
KZN226;SAFE_CRIME_ASSAULT_COUNT;2022/2023;132;132
KZN227;SAFE_CRIME_ASSAULT_COUNT;2022/2023;325;325
KZN235;SAFE_CRIME_ASSAULT_COUNT;2022/2023;388;388
KZN237;SAFE_CRIME_ASSAULT_COUNT;2022/2023;752;752
KZN238;SAFE_CRIME_ASSAULT_COUNT;2022/2023;2061;2061
KZN241;SAFE_CRIME_ASSAULT_COUNT;2022/2023;511;511
KZN242;SAFE_CRIME_ASSAULT_COUNT;2022/2023;256;256
KZN244;SAFE_CRIME_ASSAULT_COUNT;2022/2023;305;305
KZN245;SAFE_CRIME_ASSAULT_COUNT;2022/2023;721;721
KZN252;SAFE_CRIME_ASSAULT_COUNT;2022/2023;2527;2527
KZN253;SAFE_CRIME_ASSAULT_COUNT;2022/2023;190;190
KZN254;SAFE_CRIME_ASSAULT_COUNT;2022/2023;404;404
KZN261;SAFE_CRIME_ASSAULT_COUNT;2022/2023;226;226
KZN262;SAFE_CRIME_ASSAULT_COUNT;2022/2023;624;624
KZN263;SAFE_CRIME_ASSAULT_COUNT;2022/2023;1406;1406
KZN265;SAFE_CRIME_ASSAULT_COUNT;2022/2023;551;551
KZN266;SAFE_CRIME_ASSAULT_COUNT;2022/2023;693;693
KZN271;SAFE_CRIME_ASSAULT_COUNT;2022/2023;286;286
KZN272;SAFE_CRIME_ASSAULT_COUNT;2022/2023;589;589
KZN275;SAFE_CRIME_ASSAULT_COUNT;2022/2023;687;687
KZN276;SAFE_CRIME_ASSAULT_COUNT;2022/2023;329;329
KZN281;SAFE_CRIME_ASSAULT_COUNT;2022/2023;434;434
KZN282;SAFE_CRIME_ASSAULT_COUNT;2022/2023;2644;2644
KZN284;SAFE_CRIME_ASSAULT_COUNT;2022/2023;1274;1274
KZN285;SAFE_CRIME_ASSAULT_COUNT;2022/2023;512;512
KZN286;SAFE_CRIME_ASSAULT_COUNT;2022/2023;344;344
KZN291;SAFE_CRIME_ASSAULT_COUNT;2022/2023;939;939
KZN292;SAFE_CRIME_ASSAULT_COUNT;2022/2023;1854;1854
KZN293;SAFE_CRIME_ASSAULT_COUNT;2022/2023;501;501
KZN294;SAFE_CRIME_ASSAULT_COUNT;2022/2023;199;199
KZN433;SAFE_CRIME_ASSAULT_COUNT;2022/2023;477;477
KZN434;SAFE_CRIME_ASSAULT_COUNT;2022/2023;332;332
KZN435;SAFE_CRIME_ASSAULT_COUNT;2022/2023;760;760
LIM331;SAFE_CRIME_ASSAULT_COUNT;2022/2023;635;635
LIM332;SAFE_CRIME_ASSAULT_COUNT;2022/2023;964;964
LIM333;SAFE_CRIME_ASSAULT_COUNT;2022/2023;1302;1302
LIM334;SAFE_CRIME_ASSAULT_COUNT;2022/2023;551;551
LIM335;SAFE_CRIME_ASSAULT_COUNT;2022/2023;132;132
LIM341;SAFE_CRIME_ASSAULT_COUNT;2022/2023;803;803
LIM343;SAFE_CRIME_ASSAULT_COUNT;2022/2023;1705;1705
LIM344;SAFE_CRIME_ASSAULT_COUNT;2022/2023;2743;2743
LIM345;SAFE_CRIME_ASSAULT_COUNT;2022/2023;1072;1072
LIM351;SAFE_CRIME_ASSAULT_COUNT;2022/2023;403;403
LIM353;SAFE_CRIME_ASSAULT_COUNT;2022/2023;456;456
LIM354;SAFE_CRIME_ASSAULT_COUNT;2022/2023;4355;4355
LIM355;SAFE_CRIME_ASSAULT_COUNT;2022/2023;1037;1037
LIM361;SAFE_CRIME_ASSAULT_COUNT;2022/2023;695;695
LIM362;SAFE_CRIME_ASSAULT_COUNT;2022/2023;663;663
LIM366;SAFE_CRIME_ASSAULT_COUNT;2022/2023;250;250
LIM367;SAFE_CRIME_ASSAULT_COUNT;2022/2023;1575;1575
LIM368;SAFE_CRIME_ASSAULT_COUNT;2022/2023;633;633
LIM471;SAFE_CRIME_ASSAULT_COUNT;2022/2023;345;345
LIM472;SAFE_CRIME_ASSAULT_COUNT;2022/2023;1220;1220
LIM473;SAFE_CRIME_ASSAULT_COUNT;2022/2023;879;879
LIM476;SAFE_CRIME_ASSAULT_COUNT;2022/2023;1492;1492
MAN;SAFE_CRIME_ASSAULT_COUNT;2022/2023;8378;8378
MP301;SAFE_CRIME_ASSAULT_COUNT;2022/2023;825;825
MP302;SAFE_CRIME_ASSAULT_COUNT;2022/2023;687;687
MP303;SAFE_CRIME_ASSAULT_COUNT;2022/2023;585;585
MP304;SAFE_CRIME_ASSAULT_COUNT;2022/2023;719;719
MP305;SAFE_CRIME_ASSAULT_COUNT;2022/2023;911;911
MP306;SAFE_CRIME_ASSAULT_COUNT;2022/2023;224;224
MP307;SAFE_CRIME_ASSAULT_COUNT;2022/2023;1936;1936
MP311;SAFE_CRIME_ASSAULT_COUNT;2022/2023;632;632
MP312;SAFE_CRIME_ASSAULT_COUNT;2022/2023;2587;2587
MP313;SAFE_CRIME_ASSAULT_COUNT;2022/2023;907;907
MP314;SAFE_CRIME_ASSAULT_COUNT;2022/2023;398;398
MP315;SAFE_CRIME_ASSAULT_COUNT;2022/2023;1722;1722
MP316;SAFE_CRIME_ASSAULT_COUNT;2022/2023;916;916
MP321;SAFE_CRIME_ASSAULT_COUNT;2022/2023;446;446
MP324;SAFE_CRIME_ASSAULT_COUNT;2022/2023;888;888
MP325;SAFE_CRIME_ASSAULT_COUNT;2022/2023;1594;1594
NC061;SAFE_CRIME_ASSAULT_COUNT;2022/2023;123;123
NC062;SAFE_CRIME_ASSAULT_COUNT;2022/2023;485;485
NC064;SAFE_CRIME_ASSAULT_COUNT;2022/2023;126;126
NC065;SAFE_CRIME_ASSAULT_COUNT;2022/2023;293;293
NC066;SAFE_CRIME_ASSAULT_COUNT;2022/2023;123;123
NC071;SAFE_CRIME_ASSAULT_COUNT;2022/2023;267;267
NC072;SAFE_CRIME_ASSAULT_COUNT;2022/2023;503;503
NC073;SAFE_CRIME_ASSAULT_COUNT;2022/2023;512;512
NC074;SAFE_CRIME_ASSAULT_COUNT;2022/2023;387;387
NC075;SAFE_CRIME_ASSAULT_COUNT;2022/2023;163;163
NC076;SAFE_CRIME_ASSAULT_COUNT;2022/2023;50;50
NC077;SAFE_CRIME_ASSAULT_COUNT;2022/2023;287;287
NC078;SAFE_CRIME_ASSAULT_COUNT;2022/2023;400;400
NC082;SAFE_CRIME_ASSAULT_COUNT;2022/2023;653;653
NC084;SAFE_CRIME_ASSAULT_COUNT;2022/2023;142;142
NC085;SAFE_CRIME_ASSAULT_COUNT;2022/2023;389;389
NC086;SAFE_CRIME_ASSAULT_COUNT;2022/2023;156;156
NC087;SAFE_CRIME_ASSAULT_COUNT;2022/2023;1177;1177
NC091;SAFE_CRIME_ASSAULT_COUNT;2022/2023;3456;3456
NC092;SAFE_CRIME_ASSAULT_COUNT;2022/2023;460;460
NC093;SAFE_CRIME_ASSAULT_COUNT;2022/2023;237;237
NC094;SAFE_CRIME_ASSAULT_COUNT;2022/2023;831;831
NC451;SAFE_CRIME_ASSAULT_COUNT;2022/2023;148;148
NC452;SAFE_CRIME_ASSAULT_COUNT;2022/2023;770;770
NC453;SAFE_CRIME_ASSAULT_COUNT;2022/2023;262;262
NMA;SAFE_CRIME_ASSAULT_COUNT;2022/2023;6809;6809
NW371;SAFE_CRIME_ASSAULT_COUNT;2022/2023;499;499
NW372;SAFE_CRIME_ASSAULT_COUNT;2022/2023;3307;3307
NW373;SAFE_CRIME_ASSAULT_COUNT;2022/2023;4308;4308
NW374;SAFE_CRIME_ASSAULT_COUNT;2022/2023;222;222
NW375;SAFE_CRIME_ASSAULT_COUNT;2022/2023;1481;1481
NW381;SAFE_CRIME_ASSAULT_COUNT;2022/2023;685;685
NW382;SAFE_CRIME_ASSAULT_COUNT;2022/2023;693;693
NW383;SAFE_CRIME_ASSAULT_COUNT;2022/2023;2314;2314
NW384;SAFE_CRIME_ASSAULT_COUNT;2022/2023;1463;1463
NW385;SAFE_CRIME_ASSAULT_COUNT;2022/2023;670;670
NW392;SAFE_CRIME_ASSAULT_COUNT;2022/2023;885;885
NW393;SAFE_CRIME_ASSAULT_COUNT;2022/2023;422;422
NW394;SAFE_CRIME_ASSAULT_COUNT;2022/2023;907;907
NW396;SAFE_CRIME_ASSAULT_COUNT;2022/2023;434;434
NW397;SAFE_CRIME_ASSAULT_COUNT;2022/2023;677;677
NW403;SAFE_CRIME_ASSAULT_COUNT;2022/2023;2774;2774
NW404;SAFE_CRIME_ASSAULT_COUNT;2022/2023;852;852
TSH;SAFE_CRIME_ASSAULT_COUNT;2022/2023;21034;21034
WC011;SAFE_CRIME_ASSAULT_COUNT;2022/2023;1173;1173
WC012;SAFE_CRIME_ASSAULT_COUNT;2022/2023;709;709
WC013;SAFE_CRIME_ASSAULT_COUNT;2022/2023;651;651
