"MunicipalityCode";"IndicatorID";"Year";"IndicatorName";"Theme";"Source";"Normalization";"Polarity";"MunicipalityName";"ProvinceName";"MIIF_Category";"ProvinceAcronym";"DistrictName";"ValueRaw";"ValueParsed"
"BUF";"NUMBER_OF_MUNICIPALITIES_IN_EACH_PROVINCE_WHICH_HAVE_IMPLEMENTED_THE_POLICY_RELATING_TO_THE_PROVISION_OF_FREE_BASIC_SERV";"2024";"Number of municipalities in each province which have implemented the policy relating to the provision of free basic services";"Indicators For Need Municipal Profiling And Provincial Differentiation";"Non-financial census of municipalities for the year ended 30 June 2023
Quantec";"minmax";"1";"Buffalo City";"Eastern Cape";"A";"EC";"Buffalo City";"47.62";"47.622882993897385"
"BUF";"NUMBER_OF_INDIGENT_HOUSEHOLDS_IN_EACH_PROVINCE_BENEFITING_FROM_AN_INDIGENT_SUPPORT_SYSTEM";"2024";"Number of indigent households in each province benefiting from an indigent support system";"Indigent Support";"Non-financial census of municipalities for the year ended 30 June 2023
Quantec";"minmax";"-1";"Buffalo City";"Eastern Cape";"A";"EC";"Buffalo City";"57.91";"57.90525516029879"
"BUF";"NUMBER_OF_VACANT_MANAGERIAL_POSITIONS_BY_PROVINCE_ACCORDING_TO_SECTION_54A_AND_56_OF_LOCAL_GOVERNMENT_MUNICIPAL_SYSTEM_A";"2024";"Number of vacant managerial positions by province according to Section 54A and 56 of Local Government Municipal System Act, 2000 (Act No.32 of 2000)";"Municipal Vacancies";"Non-financial census of municipalities for the year ended 30 June 2023
Quantec";"minmax";"1";"Buffalo City";"Eastern Cape";"A";"EC";"Buffalo City";"56.24";"56.239489172036414"
"BUF";"NUMBER_OF_MANAGERIAL_POSITIONS_BY_PROVINCE_ACCORDING_TO_ORGANOGRAM_EXCLUDING_SECTION_56_MANAGERS";"2024";"Number of managerial positions by province according to organogram (excluding Section 56 managers)";"Indicators For Need Municipal Profiling And Provincial Differentiation";"Non-financial census of municipalities for the year ended 30 June 2023
Quantec";"minmax";"1";"Buffalo City";"Eastern Cape";"A";"EC";"Buffalo City";"57.19";"57.188137022806266"
"BUF";"NUMBER_OF_COUNCILLORS_PER_MUNICIPALITY";"2024";"Number of councillors per municipality";"Indicators For Need Municipal Profiling And Provincial Differentiation";"IEC
Non-financial census of municipalities for the year ended 30 June 2023";"minmax";"1";"Buffalo City";"Eastern Cape";"A";"EC";"Buffalo City";"30.18";"30.181028559083042"
"BUF";"EMPLOYMENT_POSITIONS_INCLUDING_MANAGERIAL_POSITIONS_BY_PROVINCE";"2024";"Employment positions including managerial positions by province";"Indicators For Need Municipal Profiling And Provincial Differentiation";"Municipalities 
Non-financial census of municipalities for the year ended 30 June 2023
Quantec";"minmax";"1";"Buffalo City";"Eastern Cape";"A";"EC";"Buffalo City";"45.29";"45.29071160808779"
"BUF";"AN_ALTERNATIVE_DIFFERENTIATION_APPROACH";"2024";"An alternative differentiation approach";"An Alternative Differentiation Approach
Analysis Of Disparities In Service Delivery Between Different Municipalities, Such As Urban Versus Rural Areas. (Apply The Miif Model And Identify Characteristics Predominant In Each Municipal Type)";"An alternative differentiation approach
Analysis of disparities in service delivery between different municipalities, such as urban versus rural areas. (Apply the MIIF model and identify characteristics predominant in each municipal type)";"minmax";"1";"Buffalo City";"Eastern Cape";"A";"EC";"Buffalo City";"41.87";"41.87219649415399"
"BUF";"ANALYSIS_OF_DISPARITIES_IN_SERVICE_DELIVERY_BETWEEN_DIFFERENT_MUNICIPALITIES_SUCH_AS_URBAN_VERSUS_RURAL_AREAS_APPLY_T";"2024";"Analysis of disparities in service delivery between different municipalities, such as urban versus rural areas. (Apply the MIIF model and identify characteristics predominant in each municipal type)";"An Alternative Differentiation Approach
Analysis Of Disparities In Service Delivery Between Different Municipalities, Such As Urban Versus Rural Areas. (Apply The Miif Model And Identify Characteristics Predominant In Each Municipal Type)";"An alternative differentiation approach
Analysis of disparities in service delivery between different municipalities, such as urban versus rural areas. (Apply the MIIF model and identify characteristics predominant in each municipal type)";"minmax";"1";"Buffalo City";"Eastern Cape";"A";"EC";"Buffalo City";"85.23";"85.23212918838102"
"BUF";"PERCENTAGE_OF_THE_POPULATION_LIVING_BELOW_A_CERTAIN_INCOME_LEVEL_POVERTY_LINE";"2024";"Percentage of the population living below a certain income level (poverty line)";"Poverty";"Stats SA
Quantec";"minmax";"-1";"Buffalo City";"Eastern Cape";"A";"EC";"Buffalo City";"42.02";"42.02447328520792"
"BUF";"UNEMPLOYMENT_RATE_PER_MUNICIPALITY";"2024";"Unemployment rate per municipality";"Unemployment";"Stats SA
Quantec";"minmax";"-1";"Buffalo City";"Eastern Cape";"A";"EC";"Buffalo City";"65.09";"65.08956133576551"
"BUF";"GINI_COEFFICIENT_PER_MUNICIPALITY";"2024";"Gini-coefficient per municipality";"Inequality";"Stats SA
Quantec";"minmax";"1";"Buffalo City";"Eastern Cape";"A";"EC";"Buffalo City";"29.83";"29.82671342154061"
"BUF";"HOUSEHOLD_INCOME_PER_MUNICIPALITY";"2024";"Household income per municipality";"Household Income";"Stats SA
Quantec";"minmax";"1";"Buffalo City";"Eastern Cape";"A";"EC";"Buffalo City";"45.21";"45.20511847609096"
"BUF";"GDP_PER_MUNICIPALITY";"2024";"GDP per municipality";"Trade Balance";"Stats SA
Quantec";"minmax";"1";"Buffalo City";"Eastern Cape";"A";"EC";"Buffalo City";"32.81";"32.8071589547221"
"BUF";"INFANT_MORTALITY_RATE";"2024";"Infant mortality rate";"Social And Health";"Stats SA
Quantec";"minmax";"-1";"Buffalo City";"Eastern Cape";"A";"EC";"Buffalo City";"52.32";"52.31530939183049"
"BUF";"LIFE_EXPECTANCY_RATE";"2024";"Life expectancy rate";"Indicators For Need Municipal Profiling And Provincial Differentiation";"Stats SA
Quantec";"minmax";"1";"Buffalo City";"Eastern Cape";"A";"EC";"Buffalo City";"71.76";"71.76029019419768"
"BUF";"CHILD_MORTALITY_RATE";"2024";"Child mortality rate";"Indicators For Need Municipal Profiling And Provincial Differentiation";"Stats SA
Quantec";"minmax";"-1";"Buffalo City";"Eastern Cape";"A";"EC";"Buffalo City";"39.30";"39.29942575349962"
"BUF";"LITERACY_RATE_PER_MUNICIPALITY";"2024";"Literacy rate per municipality";"Education";"Stats SA
Quantec";"minmax";"1";"Buffalo City";"Eastern Cape";"A";"EC";"Buffalo City";"59.47";"59.47458545729565"
"BUF";"CRIME_RATES";"2024";"Crime rates";"Safety And Security";"Stats SA
Quantec";"minmax";"-1";"Buffalo City";"Eastern Cape";"A";"EC";"Buffalo City";"59.29";"59.293123129027435"
"BUF";"LIFE_EXPECTANCY_PER_MUNICIPALITY";"2024";"Life expectancy per municipality";"Life Expectancy";"Stats SA
Quantec";"minmax";"1";"Buffalo City";"Eastern Cape";"A";"EC";"Buffalo City";"57.68";"57.68341886382213"
"BUF";"TOTAL_POPULATION_PER_MUNICIPALITY";"2024";"Total population per municipality";"Population Dynamics";"Census 2022
Mid-year population estimates 2025";"minmax";"1";"Buffalo City";"Eastern Cape";"A";"EC";"Buffalo City";"47.28";"47.284518457809845"
"BUF";"POPULATION_GROWTH_RATE_PER_MUNICIPALITY";"2024";"Population growth rate per municipality";"Indicators For Need Municipal Profiling And Provincial Differentiation";"Census 2022
Mid-year population estimates 2025";"minmax";"1";"Buffalo City";"Eastern Cape";"A";"EC";"Buffalo City";"48.14";"48.13866169786971"
"BUF";"POPULATION_DISTRIBUTION_PER_MUNICIPALITY_BLACK_AFRICAN_COLOUREDS_WHITE_INDIAN_OR_ASIAN";"2024";"Population distribution per municipality (Black African, Coloureds, White, Indian or Asian)";"Population Distribution";"Census 2022
Mid-year population estimates 2025";"minmax";"-1";"Buffalo City";"Eastern Cape";"A";"EC";"Buffalo City";"51.63";"51.62920497589285"
"BUF";"GENDER_DISTRIBUTION_PER_MUNICIPALITY_MALE_FEMALE";"2024";"Gender distribution per municipality (male / female)";"Gender Distribution";"Census 2022
Mid-year population estimates 2025";"minmax";"1";"Buffalo City";"Eastern Cape";"A";"EC";"Buffalo City";"52.49";"52.48548769148027"
"BUF";"CHILDREN_POPULATION_PER_MUNICIPALITY";"2024";"Children population per municipality";"Age Structure";"Census 2022
Mid-year population estimates 2025";"minmax";"1";"Buffalo City";"Eastern Cape";"A";"EC";"Buffalo City";"51.88";"51.879337343660865"
"BUF";"YOUTH_POPULATION_PER_MUNICIPALITY_15_34";"2024";"Youth population per municipality (15-34)";"Indicators For Need Municipal Profiling And Provincial Differentiation";"Census 2022
Mid-year population estimates 2025";"minmax";"1";"Buffalo City";"Eastern Cape";"A";"EC";"Buffalo City";"59.35";"59.34802001932973"
"BUF";"ADULT_POPULATION_AGED_35_59_PER_MUNICIPALITY";"2024";"Adult population aged 35 – 59 per municipality";"Indicators For Need Municipal Profiling And Provincial Differentiation";"Census 2022
Mid-year population estimates 2025";"minmax";"1";"Buffalo City";"Eastern Cape";"A";"EC";"Buffalo City";"48.48";"48.482988292676"
"BUF";"POPULATION_AGED_ABOVE_60_PER_MUNICIPALITY";"2024";"Population aged above 60 per municipality";"Indicators For Need Municipal Profiling And Provincial Differentiation";"Census 2022
Mid-year population estimates 2025";"minmax";"1";"Buffalo City";"Eastern Cape";"A";"EC";"Buffalo City";"56.56";"56.56033771195845"
"BUF";"WORKING_AGE_POPULATION_15_64_PER_MUNICIPALITY";"2024";"Working age population ( 15 – 64) per municipality";"Indicators For Need Municipal Profiling And Provincial Differentiation";"Census 2022
Mid-year population estimates 2025";"minmax";"1";"Buffalo City";"Eastern Cape";"A";"EC";"Buffalo City";"53.65";"53.65229418755726"
"BUF";"IN_MIGRATION_PER_MUNICIPALITY";"2024";"In-migration per municipality";"Migration";"Census 2022
Mid-year population estimates 2025";"minmax";"1";"Buffalo City";"Eastern Cape";"A";"EC";"Buffalo City";"36.54";"36.53904114026005"
"BUF";"OUT_MIGRATION_PER_MUNICIPALITY";"2024";"Out-migration per municipality";"Indicators For Need Municipal Profiling And Provincial Differentiation";"Census 2022
Mid-year population estimates 2025";"minmax";"1";"Buffalo City";"Eastern Cape";"A";"EC";"Buffalo City";"39.01";"39.011459225804735"
"DC10";"TOTAL_NUMBER_OF_HOUSEHOLDS_PER_MUNICIPALITY";"2024";"Total number of households per municipality";"Household And Living Conditions";"General Household Survey (2024)
Quantec";"minmax";"1";"Sarah Baartman";"Eastern Cape";"C";"EC";"";"56.81";"56.808321047337756"
"DC10";"AVERAGE_HOUSEHOLD_SIZE_PER_MUNICIPALITY";"2024";"Average household size per municipality";"Dwelling Type";"General Household Survey (2024)
Quantec";"minmax";"1";"Sarah Baartman";"Eastern Cape";"C";"EC";"";"55.81";"55.813024604620814"
"DC10";"PERCENTAGE_OF_HOUSEHOLDS_WITH_FORMAL_DWELLINGS_PER_MUNICIPALITY";"2024";"Percentage of households with formal dwellings per municipality";"Indicators For Need Municipal Profiling And Provincial Differentiation";"General Household Survey (2024)
Quantec";"minmax";"1";"Sarah Baartman";"Eastern Cape";"C";"EC";"";"62.99";"62.988862041558576"
"DC10";"PERCENTAGE_OF_HOUSEHOLD_WITH_ACCESS_TO_WATER_SANITATION_ELECTRICITY_AND_WASTE_COLLECTION_PER_MUNICIPALITY";"2024";"Percentage of household with access to water, sanitation, electricity, and waste collection per municipality";"Access To Service Access And Quality";"Non-financial census of municipalities for the year ended 30 June 2023
Quantec";"minmax";"1";"Sarah Baartman";"Eastern Cape";"C";"EC";"";"23.18";"23.180334015169933"
"DC10";"WATER_AND_SANITATION_QUALITY_WATER_PER_MUNICIPALITY_BLUE_DROP_GREEN_DROP_STATUS";"2024";"Water and sanitation quality water per municipality (blue drop, green drop status)";"Quality Of Basic Services";"Blue drop report 2024";"minmax";"1";"Sarah Baartman";"Eastern Cape";"C";"EC";"";"57.36";"57.36470925763089"
"DC10";"NUMBER_OF_CONSUMER_UNITS_USING_THE_BUCKET_TOILET_SYSTEM_PROVIDED_BY_MUNICIPALITIES_IN_EACH_PROVINCE";"2024";"Number of consumer units using the bucket toilet system provided by municipalities in each province";"Indicators For Need Municipal Profiling And Provincial Differentiation";"Non-financial census of municipalities for the year ended 30 June 2023
Quantec";"minmax";"1";"Sarah Baartman";"Eastern Cape";"C";"EC";"";"21.05";"21.050218807383338"
"DC10";"NUMBER_OF_MUNICIPALITIES_THAT_PROVIDE_SERVICES";"2024";"Number (%) of municipalities that provide services";"Indicators For Need Municipal Profiling And Provincial Differentiation";"Non-financial census of municipalities for the year ended 30 June 2023
Quantec";"minmax";"1";"Sarah Baartman";"Eastern Cape";"C";"EC";"";"49.33";"49.32569014256592"
"DC10";"WATER_SANITATION_ELECTRICITY_WASTE";"2024";"water, sanitation, electricity, waste";"Indicators For Need Municipal Profiling And Provincial Differentiation";"Non-financial census of municipalities for the year ended 30 June 2023
Quantec";"minmax";"1";"Sarah Baartman";"Eastern Cape";"C";"EC";"";"20.23";"20.23251098496936"
"DC10";"NUMBER_OF_CONSUMER_UNITS_RECEIVING_WATER_SERVICES_AND_FREE_BASIC_WATER_SERVICES_FROM_MUNICIPALITIES";"2024";"Number of consumer units receiving water services and free basic water services from municipalities";"Free Basic Services";"Non-financial census of municipalities for the year ended 30 June 2023
Quantec";"minmax";"1";"Sarah Baartman";"Eastern Cape";"C";"EC";"";"66.18";"66.17938298291718"
"DC10";"NUMBER_OF_MUNICIPALITIES_IN_EACH_PROVINCE_WITH_A_POLICY_IN_PLACE_RELATING_TO_THE_PROVISION_OF_FREE_BASIC_SERVICES";"2024";"Number of municipalities in each province with a policy in place relating to the provision of free basic services";"Indicators For Need Municipal Profiling And Provincial Differentiation";"Non-financial census of municipalities for the year ended 30 June 2023
Quantec";"minmax";"1";"Sarah Baartman";"Eastern Cape";"C";"EC";"";"39.69";"39.69428700775187"
"DC10";"NUMBER_OF_MUNICIPALITIES_IN_EACH_PROVINCE_WHICH_HAVE_IMPLEMENTED_THE_POLICY_RELATING_TO_THE_PROVISION_OF_FREE_BASIC_SERV";"2024";"Number of municipalities in each province which have implemented the policy relating to the provision of free basic services";"Indicators For Need Municipal Profiling And Provincial Differentiation";"Non-financial census of municipalities for the year ended 30 June 2023
Quantec";"minmax";"1";"Sarah Baartman";"Eastern Cape";"C";"EC";"";"76.09";"76.0949130082135"
"DC10";"NUMBER_OF_INDIGENT_HOUSEHOLDS_IN_EACH_PROVINCE_BENEFITING_FROM_AN_INDIGENT_SUPPORT_SYSTEM";"2024";"Number of indigent households in each province benefiting from an indigent support system";"Indigent Support";"Non-financial census of municipalities for the year ended 30 June 2023
Quantec";"minmax";"-1";"Sarah Baartman";"Eastern Cape";"C";"EC";"";"52.52";"52.5224095248833"
"DC10";"NUMBER_OF_VACANT_MANAGERIAL_POSITIONS_BY_PROVINCE_ACCORDING_TO_SECTION_54A_AND_56_OF_LOCAL_GOVERNMENT_MUNICIPAL_SYSTEM_A";"2024";"Number of vacant managerial positions by province according to Section 54A and 56 of Local Government Municipal System Act, 2000 (Act No.32 of 2000)";"Municipal Vacancies";"Non-financial census of municipalities for the year ended 30 June 2023
Quantec";"minmax";"1";"Sarah Baartman";"Eastern Cape";"C";"EC";"";"60.12";"60.11939792385773"
"DC10";"NUMBER_OF_MANAGERIAL_POSITIONS_BY_PROVINCE_ACCORDING_TO_ORGANOGRAM_EXCLUDING_SECTION_56_MANAGERS";"2024";"Number of managerial positions by province according to organogram (excluding Section 56 managers)";"Indicators For Need Municipal Profiling And Provincial Differentiation";"Non-financial census of municipalities for the year ended 30 June 2023
Quantec";"minmax";"1";"Sarah Baartman";"Eastern Cape";"C";"EC";"";"56.88";"56.88204094237247"
"DC10";"NUMBER_OF_COUNCILLORS_PER_MUNICIPALITY";"2024";"Number of councillors per municipality";"Indicators For Need Municipal Profiling And Provincial Differentiation";"IEC
Non-financial census of municipalities for the year ended 30 June 2023";"minmax";"1";"Sarah Baartman";"Eastern Cape";"C";"EC";"";"71.57";"71.57102487483354"
"DC10";"EMPLOYMENT_POSITIONS_INCLUDING_MANAGERIAL_POSITIONS_BY_PROVINCE";"2024";"Employment positions including managerial positions by province";"Indicators For Need Municipal Profiling And Provincial Differentiation";"Municipalities 
Non-financial census of municipalities for the year ended 30 June 2023
Quantec";"minmax";"1";"Sarah Baartman";"Eastern Cape";"C";"EC";"";"49.64";"49.644339340756005"
"DC10";"AN_ALTERNATIVE_DIFFERENTIATION_APPROACH";"2024";"An alternative differentiation approach";"An Alternative Differentiation Approach
Analysis Of Disparities In Service Delivery Between Different Municipalities, Such As Urban Versus Rural Areas. (Apply The Miif Model And Identify Characteristics Predominant In Each Municipal Type)";"An alternative differentiation approach
Analysis of disparities in service delivery between different municipalities, such as urban versus rural areas. (Apply the MIIF model and identify characteristics predominant in each municipal type)";"minmax";"1";"Sarah Baartman";"Eastern Cape";"C";"EC";"";"36.30";"36.2994190064319"
"DC10";"ANALYSIS_OF_DISPARITIES_IN_SERVICE_DELIVERY_BETWEEN_DIFFERENT_MUNICIPALITIES_SUCH_AS_URBAN_VERSUS_RURAL_AREAS_APPLY_T";"2024";"Analysis of disparities in service delivery between different municipalities, such as urban versus rural areas. (Apply the MIIF model and identify characteristics predominant in each municipal type)";"An Alternative Differentiation Approach
Analysis Of Disparities In Service Delivery Between Different Municipalities, Such As Urban Versus Rural Areas. (Apply The Miif Model And Identify Characteristics Predominant In Each Municipal Type)";"An alternative differentiation approach
Analysis of disparities in service delivery between different municipalities, such as urban versus rural areas. (Apply the MIIF model and identify characteristics predominant in each municipal type)";"minmax";"1";"Sarah Baartman";"Eastern Cape";"C";"EC";"";"35.77";"35.769414167200026"
"DC10";"PERCENTAGE_OF_THE_POPULATION_LIVING_BELOW_A_CERTAIN_INCOME_LEVEL_POVERTY_LINE";"2024";"Percentage of the population living below a certain income level (poverty line)";"Poverty";"Stats SA
Quantec";"minmax";"-1";"Sarah Baartman";"Eastern Cape";"C";"EC";"";"38.99";"38.99390905089808"
"DC10";"UNEMPLOYMENT_RATE_PER_MUNICIPALITY";"2024";"Unemployment rate per municipality";"Unemployment";"Stats SA
Quantec";"minmax";"-1";"Sarah Baartman";"Eastern Cape";"C";"EC";"";"50.63";"50.631800739331055"
"DC10";"GINI_COEFFICIENT_PER_MUNICIPALITY";"2024";"Gini-coefficient per municipality";"Inequality";"Stats SA
Quantec";"minmax";"1";"Sarah Baartman";"Eastern Cape";"C";"EC";"";"54.21";"54.20761707017857"
"DC10";"HOUSEHOLD_INCOME_PER_MUNICIPALITY";"2024";"Household income per municipality";"Household Income";"Stats SA
Quantec";"minmax";"1";"Sarah Baartman";"Eastern Cape";"C";"EC";"";"46.89";"46.88665965185743"
"DC10";"GDP_PER_MUNICIPALITY";"2024";"GDP per municipality";"Trade Balance";"Stats SA
Quantec";"minmax";"1";"Sarah Baartman";"Eastern Cape";"C";"EC";"";"51.86";"51.862814970074666"
"DC10";"INFANT_MORTALITY_RATE";"2024";"Infant mortality rate";"Social And Health";"Stats SA
Quantec";"minmax";"-1";"Sarah Baartman";"Eastern Cape";"C";"EC";"";"68.64";"68.6356321671549"
"DC10";"LIFE_EXPECTANCY_RATE";"2024";"Life expectancy rate";"Indicators For Need Municipal Profiling And Provincial Differentiation";"Stats SA
Quantec";"minmax";"1";"Sarah Baartman";"Eastern Cape";"C";"EC";"";"28.77";"28.774093909244495"
"DC10";"CHILD_MORTALITY_RATE";"2024";"Child mortality rate";"Indicators For Need Municipal Profiling And Provincial Differentiation";"Stats SA
Quantec";"minmax";"-1";"Sarah Baartman";"Eastern Cape";"C";"EC";"";"43.38";"43.383020165100525"
"DC10";"LITERACY_RATE_PER_MUNICIPALITY";"2024";"Literacy rate per municipality";"Education";"Stats SA
Quantec";"minmax";"1";"Sarah Baartman";"Eastern Cape";"C";"EC";"";"62.32";"62.31511072290162"
"DC10";"CRIME_RATES";"2024";"Crime rates";"Safety And Security";"Stats SA
Quantec";"minmax";"-1";"Sarah Baartman";"Eastern Cape";"C";"EC";"";"37.21";"37.20726976092784"
"DC10";"LIFE_EXPECTANCY_PER_MUNICIPALITY";"2024";"Life expectancy per municipality";"Life Expectancy";"Stats SA
Quantec";"minmax";"1";"Sarah Baartman";"Eastern Cape";"C";"EC";"";"62.45";"62.45314116947927"
"DC10";"TOTAL_POPULATION_PER_MUNICIPALITY";"2024";"Total population per municipality";"Population Dynamics";"Census 2022
Mid-year population estimates 2025";"minmax";"1";"Sarah Baartman";"Eastern Cape";"C";"EC";"";"44.90";"44.90239248174551"
"DC10";"POPULATION_GROWTH_RATE_PER_MUNICIPALITY";"2024";"Population growth rate per municipality";"Indicators For Need Municipal Profiling And Provincial Differentiation";"Census 2022
Mid-year population estimates 2025";"minmax";"1";"Sarah Baartman";"Eastern Cape";"C";"EC";"";"42.98";"42.98083651039122"
"DC10";"POPULATION_DISTRIBUTION_PER_MUNICIPALITY_BLACK_AFRICAN_COLOUREDS_WHITE_INDIAN_OR_ASIAN";"2024";"Population distribution per municipality (Black African, Coloureds, White, Indian or Asian)";"Population Distribution";"Census 2022
Mid-year population estimates 2025";"minmax";"-1";"Sarah Baartman";"Eastern Cape";"C";"EC";"";"47.68";"47.67725461358028"
"DC10";"GENDER_DISTRIBUTION_PER_MUNICIPALITY_MALE_FEMALE";"2024";"Gender distribution per municipality (male / female)";"Gender Distribution";"Census 2022
Mid-year population estimates 2025";"minmax";"1";"Sarah Baartman";"Eastern Cape";"C";"EC";"";"52.07";"52.07344008477765"
"DC10";"CHILDREN_POPULATION_PER_MUNICIPALITY";"2024";"Children population per municipality";"Age Structure";"Census 2022
Mid-year population estimates 2025";"minmax";"1";"Sarah Baartman";"Eastern Cape";"C";"EC";"";"45.90";"45.904483214167755"
"DC10";"YOUTH_POPULATION_PER_MUNICIPALITY_15_34";"2024";"Youth population per municipality (15-34)";"Indicators For Need Municipal Profiling And Provincial Differentiation";"Census 2022
Mid-year population estimates 2025";"minmax";"1";"Sarah Baartman";"Eastern Cape";"C";"EC";"";"68.24";"68.23816151117231"
"DC10";"ADULT_POPULATION_AGED_35_59_PER_MUNICIPALITY";"2024";"Adult population aged 35 – 59 per municipality";"Indicators For Need Municipal Profiling And Provincial Differentiation";"Census 2022
Mid-year population estimates 2025";"minmax";"1";"Sarah Baartman";"Eastern Cape";"C";"EC";"";"45.68";"45.675169903988056"
"DC10";"POPULATION_AGED_ABOVE_60_PER_MUNICIPALITY";"2024";"Population aged above 60 per municipality";"Indicators For Need Municipal Profiling And Provincial Differentiation";"Census 2022
Mid-year population estimates 2025";"minmax";"1";"Sarah Baartman";"Eastern Cape";"C";"EC";"";"64.36";"64.36166917686474"
"DC10";"WORKING_AGE_POPULATION_15_64_PER_MUNICIPALITY";"2024";"Working age population ( 15 – 64) per municipality";"Indicators For Need Municipal Profiling And Provincial Differentiation";"Census 2022
Mid-year population estimates 2025";"minmax";"1";"Sarah Baartman";"Eastern Cape";"C";"EC";"";"63.20";"63.19685994738123"
"DC10";"IN_MIGRATION_PER_MUNICIPALITY";"2024";"In-migration per municipality";"Migration";"Census 2022
Mid-year population estimates 2025";"minmax";"1";"Sarah Baartman";"Eastern Cape";"C";"EC";"";"47.58";"47.58453193535763"
"DC10";"OUT_MIGRATION_PER_MUNICIPALITY";"2024";"Out-migration per municipality";"Indicators For Need Municipal Profiling And Provincial Differentiation";"Census 2022
Mid-year population estimates 2025";"minmax";"1";"Sarah Baartman";"Eastern Cape";"C";"EC";"";"66.77";"66.7655538078839"
"DC12";"TOTAL_NUMBER_OF_HOUSEHOLDS_PER_MUNICIPALITY";"2024";"Total number of households per municipality";"Household And Living Conditions";"General Household Survey (2024)
Quantec";"minmax";"1";"Amathole";"Eastern Cape";"C";"EC";"";"72.17";"72.16702951736549"
