MunicipalityCode,IndicatorColumn,Theme,Value,ValueParsed
DC13,HIV_PCT,Health,38.86090917572942,38.86090917572942
DC13,MORT_CHILD,Health,60.983472428826985,60.983472428826985
DC13,MURDER,Safety,20.480823677701903,20.480823677701903
DC13,CRIME,Safety,21.788502321571027,21.788502321571027
DC13,AUDIT_CLEAN,Governance,51.17097918548447,51.17097918548447
DC13,UNAUTH_PCT,Governance,35.56927768538399,35.56927768538399
DC14,POP_2022,Demographics,52.94969381418949,52.94969381418949
DC14,POP_DENSITY,Demographics,39.72706416409407,39.72706416409407
DC14,POP_GROWTH_PCT,Demographics,54.03327296179134,54.03327296179134
DC14,PCT_WATER,Infrastructure,19.298437719187184,19.298437719187184
DC14,PCT_SAN,Infrastructure,39.75830698423465,39.75830698423465
DC14,PCT_ELEC,Infrastructure,35.78619971273686,35.78619971273686
DC14,REV_PC,Finance,15.682181517917385,15.682181517917385
DC14,GRANT_PCT,Finance,8.730441042626232,8.730441042626232
DC14,SURPLUS_PCT,Finance,53.71498070549323,53.71498070549323
DC14,POV_PCT,Poverty,32.98095235564044,32.98095235564044
DC14,GINI,Poverty,19.55439436705341,19.55439436705341
DC14,HIV_PCT,Health,38.076421261533355,38.076421261533355
DC14,MORT_CHILD,Health,62.560377146986056,62.560377146986056
DC14,MURDER,Safety,5.614756907438462,5.614756907438462
DC14,CRIME,Safety,10.067226201933472,10.067226201933472
DC14,AUDIT_CLEAN,Governance,21.54227116209465,21.54227116209465
DC14,UNAUTH_PCT,Governance,69.22357733440657,69.22357733440657
DC15,POP_2022,Demographics,30.651739658385928,30.651739658385928
DC15,POP_DENSITY,Demographics,40.34634480922453,40.34634480922453
DC15,POP_GROWTH_PCT,Demographics,2.196781617475388,2.196781617475388
DC15,PCT_WATER,Infrastructure,2.6092824945894755,2.6092824945894755
DC15,PCT_SAN,Infrastructure,33.95627433445421,33.95627433445421
DC15,PCT_ELEC,Infrastructure,26.165486618708933,26.165486618708933
DC15,REV_PC,Finance,35.97477637728253,35.97477637728253
DC15,GRANT_PCT,Finance,21.246580181430957,21.246580181430957
DC15,SURPLUS_PCT,Finance,30.56287452909254,30.56287452909254
DC15,POV_PCT,Poverty,28.162381698102184,28.162381698102184
DC15,GINI,Poverty,40.55534778169851,40.55534778169851
DC15,HIV_PCT,Health,41.140165638889414,41.140165638889414
DC15,MORT_CHILD,Health,7.397439887835397,7.397439887835397
DC15,MURDER,Safety,19.945371106817113,19.945371106817113
DC15,CRIME,Safety,45.03490795303014,45.03490795303014
DC15,AUDIT_CLEAN,Governance,48.75450186523873,48.75450186523873
DC15,UNAUTH_PCT,Governance,4.587539609733252,4.587539609733252
DC44,POP_2022,Demographics,22.80329186908743,22.80329186908743
DC44,POP_DENSITY,Demographics,61.98069642014402,61.98069642014402
DC44,POP_GROWTH_PCT,Demographics,78.61676452701059,78.61676452701059
DC44,PCT_WATER,Infrastructure,95.9518904486863,95.9518904486863
DC44,PCT_SAN,Infrastructure,70.32595144202902,70.32595144202902
DC44,PCT_ELEC,Infrastructure,52.5656660682861,52.5656660682861
DC44,REV_PC,Finance,42.13738756830274,42.13738756830274
DC44,GRANT_PCT,Finance,60.22902583341309,60.22902583341309
DC44,SURPLUS_PCT,Finance,54.01470592229487,54.01470592229487
DC44,POV_PCT,Poverty,39.698641885423676,39.698641885423676
DC44,GINI,Poverty,100.97511301726573,100.97511301726573
DC44,HIV_PCT,Health,95.70336804144262,95.70336804144262
DC44,MORT_CHILD,Health,82.72097367110857,82.72097367110857
DC44,MURDER,Safety,41.58299204381745,41.58299204381745
DC44,CRIME,Safety,77.10038648594558,77.10038648594558
DC44,AUDIT_CLEAN,Governance,72.79252818995803,72.79252818995803
DC44,UNAUTH_PCT,Governance,68.85091248408106,68.85091248408106
EC101,POP_2022,Demographics,59.993305340875544,59.993305340875544
EC101,POP_DENSITY,Demographics,47.70742285722555,47.70742285722555
EC101,POP_GROWTH_PCT,Demographics,49.80028472608671,49.80028472608671
EC101,PCT_WATER,Infrastructure,47.7381256674442,47.7381256674442
EC101,PCT_SAN,Infrastructure,41.815828160042116,41.815828160042116
EC101,PCT_ELEC,Infrastructure,0.6722225942836673,0.6722225942836673
EC101,REV_PC,Finance,36.67242154821115,36.67242154821115
EC101,GRANT_PCT,Finance,23.876160823017496,23.876160823017496
EC101,SURPLUS_PCT,Finance,9.40318084719959,9.40318084719959
EC101,POV_PCT,Poverty,68.63633238601648,68.63633238601648
EC101,GINI,Poverty,69.57990681771406,69.57990681771406
EC101,HIV_PCT,Health,62.184412005912236,62.184412005912236
EC101,MORT_CHILD,Health,40.10426833711749,40.10426833711749
EC101,MURDER,Safety,62.012502419053135,62.012502419053135
EC101,CRIME,Safety,35.24106361203651,35.24106361203651
EC101,AUDIT_CLEAN,Governance,39.05594553795559,39.05594553795559
EC101,UNAUTH_PCT,Governance,13.130572590760341,13.130572590760341
EC102,POP_2022,Demographics,57.9398260899768,57.9398260899768
EC102,POP_DENSITY,Demographics,51.20771856848834,51.20771856848834
EC102,POP_GROWTH_PCT,Demographics,23.946957663310712,23.946957663310712
EC102,PCT_WATER,Infrastructure,48.97605776366806,48.97605776366806
EC102,PCT_SAN,Infrastructure,48.40540872286383,48.40540872286383
EC102,PCT_ELEC,Infrastructure,85.9512233328928,85.9512233328928
EC102,REV_PC,Finance,67.88426657026818,67.88426657026818
EC102,GRANT_PCT,Finance,50.22890878182932,50.22890878182932
EC102,SURPLUS_PCT,Finance,54.97574619602166,54.97574619602166
EC102,POV_PCT,Poverty,50.884247562083964,50.884247562083964
EC102,GINI,Poverty,45.941720304089046,45.941720304089046
EC102,HIV_PCT,Health,28.351456052234262,28.351456052234262
EC102,MORT_CHILD,Health,46.97896244786141,46.97896244786141
EC102,MURDER,Safety,35.078034866949736,35.078034866949736
EC102,CRIME,Safety,24.99368922153707,24.99368922153707
EC102,AUDIT_CLEAN,Governance,60.22443629095069,60.22443629095069
EC102,UNAUTH_PCT,Governance,57.825293198664696,57.825293198664696
EC104,POP_2022,Demographics,24.26584977263844,24.26584977263844
EC104,POP_DENSITY,Demographics,57.546307250097456,57.546307250097456
EC104,POP_GROWTH_PCT,Demographics,79.91402771799847,79.91402771799847
EC104,PCT_WATER,Infrastructure,81.18447477792643,81.18447477792643
EC104,PCT_SAN,Infrastructure,80.51673685770477,80.51673685770477
EC104,PCT_ELEC,Infrastructure,60.77826413802919,60.77826413802919
EC104,REV_PC,Finance,43.09909344061698,43.09909344061698
EC104,GRANT_PCT,Finance,38.32602345283879,38.32602345283879
EC104,SURPLUS_PCT,Finance,66.89209809500716,66.89209809500716
EC104,POV_PCT,Poverty,67.58560068730326,67.58560068730326
EC104,GINI,Poverty,85.74662223210132,85.74662223210132
EC104,HIV_PCT,Health,81.99959300684168,81.99959300684168
EC104,MORT_CHILD,Health,57.35542686937656,57.35542686937656
EC104,MURDER,Safety,35.11588242278261,35.11588242278261
EC104,CRIME,Safety,53.61786805978204,53.61786805978204
EC104,AUDIT_CLEAN,Governance,64.34462389621049,64.34462389621049
EC104,UNAUTH_PCT,Governance,55.95833509221192,55.95833509221192
EC105,POP_2022,Demographics,28.442117838446883,28.442117838446883
EC105,POP_DENSITY,Demographics,45.057696299397975,45.057696299397975
EC105,POP_GROWTH_PCT,Demographics,29.92084517178779,29.92084517178779
EC105,PCT_WATER,Infrastructure,27.43867832549252,27.43867832549252
EC105,PCT_SAN,Infrastructure,46.22905668606879,46.22905668606879
EC105,PCT_ELEC,Infrastructure,31.960148397415903,31.960148397415903
EC105,REV_PC,Finance,44.882087779567044,44.882087779567044
EC105,GRANT_PCT,Finance,45.464080457042456,45.464080457042456
EC105,SURPLUS_PCT,Finance,17.211419978168507,17.211419978168507
EC105,POV_PCT,Poverty,30.375177522691757,30.375177522691757
EC105,GINI,Poverty,68.75553879832924,68.75553879832924
EC105,HIV_PCT,Health,16.758409745314257,16.758409745314257
EC105,MORT_CHILD,Health,2.3330889794106184,2.3330889794106184
EC105,MURDER,Safety,2.7630969351497683,2.7630969351497683
EC105,CRIME,Safety,40.582198931533384,40.582198931533384
EC105,AUDIT_CLEAN,Governance,40.61834556065398,40.61834556065398
EC105,UNAUTH_PCT,Governance,37.647782891497585,37.647782891497585
EC106,POP_2022,Demographics,49.28379657857003,49.28379657857003
EC106,POP_DENSITY,Demographics,28.45668866205876,28.45668866205876
EC106,POP_GROWTH_PCT,Demographics,32.918677488616474,32.918677488616474
EC106,PCT_WATER,Infrastructure,56.22876403607147,56.22876403607147
EC106,PCT_SAN,Infrastructure,2.4443847021657206,2.4443847021657206
EC106,PCT_ELEC,Infrastructure,17.4038697642021,17.4038697642021
EC106,REV_PC,Finance,9.942161655427581,9.942161655427581
EC106,GRANT_PCT,Finance,7.113079078449424,7.113079078449424
EC106,SURPLUS_PCT,Finance,18.4747598995392,18.4747598995392
EC106,POV_PCT,Poverty,53.54970567369009,53.54970567369009
EC106,GINI,Poverty,61.747733509750404,61.747733509750404
EC106,HIV_PCT,Health,18.281215499197046,18.281215499197046
EC106,MORT_CHILD,Health,63.101204281289405,63.101204281289405
EC106,MURDER,Safety,25.711529539692496,25.711529539692496
EC106,CRIME,Safety,60.07382053402162,60.07382053402162
EC106,AUDIT_CLEAN,Governance,23.134027006930165,23.134027006930165
EC106,UNAUTH_PCT,Governance,27.621156520922888,27.621156520922888
EC108,POP_2022,Demographics,37.30948945285669,37.30948945285669
EC108,POP_DENSITY,Demographics,93.5770735873507,93.5770735873507
EC108,POP_GROWTH_PCT,Demographics,47.02571149689578,47.02571149689578
EC108,PCT_WATER,Infrastructure,15.854709400970728,15.854709400970728
EC108,PCT_SAN,Infrastructure,49.37995740551716,49.37995740551716
EC108,PCT_ELEC,Infrastructure,22.76334925831317,22.76334925831317
EC108,REV_PC,Finance,20.204996341975818,20.204996341975818
EC108,GRANT_PCT,Finance,48.172027197842226,48.172027197842226
EC108,SURPLUS_PCT,Finance,30.621711755423057,30.621711755423057
EC108,POV_PCT,Poverty,35.57151829023612,35.57151829023612
EC108,GINI,Poverty,30.27970443730585,30.27970443730585
EC108,HIV_PCT,Health,36.73166253210869,36.73166253210869
EC108,MORT_CHILD,Health,38.49931794872298,38.49931794872298
EC108,MURDER,Safety,8.739338654108309,8.739338654108309
EC108,CRIME,Safety,43.33145337219067,43.33145337219067
EC108,AUDIT_CLEAN,Governance,10.359611603393986,10.359611603393986
EC108,UNAUTH_PCT,Governance,1.154017288811776,1.154017288811776
EC109,POP_2022,Demographics,28.83177512282635,28.83177512282635
EC109,POP_DENSITY,Demographics,31.679620066289086,31.679620066289086
EC109,POP_GROWTH_PCT,Demographics,16.129876708554384,16.129876708554384
EC109,PCT_WATER,Infrastructure,46.62063715335949,46.62063715335949
EC109,PCT_SAN,Infrastructure,3.1564966725818593,3.1564966725818593
EC109,PCT_ELEC,Infrastructure,21.86112502454882,21.86112502454882
EC109,REV_PC,Finance,18.302517301339986,18.302517301339986
EC109,GRANT_PCT,Finance,29.06825459321321,29.06825459321321
EC109,SURPLUS_PCT,Finance,35.57728569294478,35.57728569294478
EC109,POV_PCT,Poverty,9.842141007529108,9.842141007529108
EC109,GINI,Poverty,44.485653549124564,44.485653549124564
EC109,HIV_PCT,Health,31.260047366693996,31.260047366693996
EC109,MORT_CHILD,Health,7.838925066238211,7.838925066238211
EC109,MURDER,Safety,9.17182880794062,9.17182880794062
EC109,CRIME,Safety,29.753614141413774,29.753614141413774
EC109,AUDIT_CLEAN,Governance,25.580653644272918,25.580653644272918
EC109,UNAUTH_PCT,Governance,27.93159772850733,27.93159772850733
EC121,POP_2022,Demographics,29.44035086939564,29.44035086939564
EC121,POP_DENSITY,Demographics,34.51119679020361,34.51119679020361
EC121,POP_GROWTH_PCT,Demographics,48.952992196965994,48.952992196965994
EC121,PCT_WATER,Infrastructure,7.777901981648835,7.777901981648835
EC121,PCT_SAN,Infrastructure,6.560568141984106,6.560568141984106
EC121,PCT_ELEC,Infrastructure,8.13352284225235,8.13352284225235
EC121,REV_PC,Finance,35.778333343374136,35.778333343374136
EC121,GRANT_PCT,Finance,54.89894757292891,54.89894757292891
EC121,SURPLUS_PCT,Finance,21.37321123520979,21.37321123520979
EC121,POV_PCT,Poverty,20.03399688319309,20.03399688319309
EC121,GINI,Poverty,4.0798572522075105,4.0798572522075105
EC121,HIV_PCT,Health,13.339265544079769,13.339265544079769
EC121,MORT_CHILD,Health,18.845422250095705,18.845422250095705
EC121,MURDER,Safety,21.83222745490547,21.83222745490547
EC121,CRIME,Safety,30.771622459618342,30.771622459618342
EC121,AUDIT_CLEAN,Governance,23.76507338355106,23.76507338355106
EC121,UNAUTH_PCT,Governance,50.986792210868146,50.986792210868146
EC122,POP_2022,Demographics,16.479653886372624,16.479653886372624
EC122,POP_DENSITY,Demographics,12.753640810489138,12.753640810489138
EC122,POP_GROWTH_PCT,Demographics,39.57751077040923,39.57751077040923
EC122,PCT_WATER,Infrastructure,0.7128413985223858,0.7128413985223858
EC122,PCT_SAN,Infrastructure,37.79383410640004,37.79383410640004
EC122,PCT_ELEC,Infrastructure,32.05106367452534,32.05106367452534
EC122,REV_PC,Finance,27.051150201636652,27.051150201636652
EC122,GRANT_PCT,Finance,61.76552214298525,61.76552214298525
EC122,SURPLUS_PCT,Finance,17.55585109410564,17.55585109410564
EC122,POV_PCT,Poverty,71.20596341048156,71.20596341048156
EC122,GINI,Poverty,25.491371015438013,25.491371015438013
EC122,HIV_PCT,Health,4.459671100595436,4.459671100595436
EC122,MORT_CHILD,Health,31.398391619896508,31.398391619896508
EC122,MURDER,Safety,8.475095993624638,8.475095993624638
EC122,CRIME,Safety,14.964883043729994,14.964883043729994
EC122,AUDIT_CLEAN,Governance,37.940666000309825,37.940666000309825
EC122,UNAUTH_PCT,Governance,41.111641773002496,41.111641773002496
EC123,POP_2022,Demographics,27.556645994914838,27.556645994914838
EC123,POP_DENSITY,Demographics,59.74810290092802,59.74810290092802
EC123,POP_GROWTH_PCT,Demographics,63.15015516042268,63.15015516042268
EC123,PCT_WATER,Infrastructure,68.72603513126582,68.72603513126582
EC123,PCT_SAN,Infrastructure,50.588268142514444,50.588268142514444
EC123,PCT_ELEC,Infrastructure,67.26857424171398,67.26857424171398
EC123,REV_PC,Finance,2.3840314405188465,2.3840314405188465
EC123,GRANT_PCT,Finance,33.64186902743075,33.64186902743075
EC123,SURPLUS_PCT,Finance,22.659894873531474,22.659894873531474
EC123,POV_PCT,Poverty,42.38451722254784,42.38451722254784
EC123,GINI,Poverty,28.571015616065253,28.571015616065253
EC123,HIV_PCT,Health,36.67684316100535,36.67684316100535
EC123,MORT_CHILD,Health,77.64349760408099,77.64349760408099
EC123,MURDER,Safety,36.60560407159243,36.60560407159243
EC123,CRIME,Safety,48.275846343804275,48.275846343804275
EC123,AUDIT_CLEAN,Governance,35.354613401515294,35.354613401515294
EC123,UNAUTH_PCT,Governance,41.51426575913668,41.51426575913668
EC124,POP_2022,Demographics,60.12033360872143,60.12033360872143
EC124,POP_DENSITY,Demographics,68.96648131946318,68.96648131946318
EC124,POP_GROWTH_PCT,Demographics,83.30615071094354,83.30615071094354
EC124,PCT_WATER,Infrastructure,92.94787995206659,92.94787995206659
EC124,PCT_SAN,Infrastructure,66.19240163818334,66.19240163818334
EC124,PCT_ELEC,Infrastructure,71.79093772071204,71.79093772071204
EC124,REV_PC,Finance,36.98270981628866,36.98270981628866
EC124,GRANT_PCT,Finance,58.24246515168759,58.24246515168759
EC124,SURPLUS_PCT,Finance,78.80578929767178,78.80578929767178
EC124,POV_PCT,Poverty,77.31937276834307,77.31937276834307
EC124,GINI,Poverty,64.232194655901,64.232194655901
EC124,HIV_PCT,Health,77.72787919135905,77.72787919135905
EC124,MORT_CHILD,Health,69.81533417987637,69.81533417987637
EC124,MURDER,Safety,84.00612516518643,84.00612516518643
EC124,CRIME,Safety,65.78718313914223,65.78718313914223
EC124,AUDIT_CLEAN,Governance,52.8860336885793,52.8860336885793
EC124,UNAUTH_PCT,Governance,66.71682513866047,66.71682513866047
EC126,POP_2022,Demographics,28.611887517055514,28.611887517055514
EC126,POP_DENSITY,Demographics,37.65771472770099,37.65771472770099
EC126,POP_GROWTH_PCT,Demographics,42.96825650429567,42.96825650429567
EC126,PCT_WATER,Infrastructure,4.4692681481083625,4.4692681481083625
EC126,PCT_SAN,Infrastructure,39.035372018819686,39.035372018819686
EC126,PCT_ELEC,Infrastructure,39.550586745335906,39.550586745335906
EC126,REV_PC,Finance,6.75142439720139,6.75142439720139
EC126,GRANT_PCT,Finance,15.757959162421225,15.757959162421225
EC126,SURPLUS_PCT,Finance,57.410819772282636,57.410819772282636
EC126,POV_PCT,Poverty,20.319397368546475,20.319397368546475
EC126,GINI,Poverty,74.85840624805971,74.85840624805971
EC126,HIV_PCT,Health,29.961602936473078,29.961602936473078
EC126,MORT_CHILD,Health,38.16072353762534,38.16072353762534
EC126,MURDER,Safety,62.33748796997215,62.33748796997215
EC126,CRIME,Safety,32.62054232386839,32.62054232386839
EC126,AUDIT_CLEAN,Governance,9.953120386183976,9.953120386183976
EC126,UNAUTH_PCT,Governance,27.805450966114197,27.805450966114197
EC129,POP_2022,Demographics,39.28778527619818,39.28778527619818
EC129,POP_DENSITY,Demographics,12.705166955968693,12.705166955968693
EC129,POP_GROWTH_PCT,Demographics,34.883358573183536,34.883358573183536
EC129,PCT_WATER,Infrastructure,25.156158120051266,25.156158120051266
EC129,PCT_SAN,Infrastructure,58.48715514374868,58.48715514374868
EC129,PCT_ELEC,Infrastructure,40.692237483705114,40.692237483705114
EC129,REV_PC,Finance,34.3440850170486,34.3440850170486
EC129,GRANT_PCT,Finance,37.87636138754848,37.87636138754848
EC129,SURPLUS_PCT,Finance,44.462440368123325,44.462440368123325
EC129,POV_PCT,Poverty,52.3362839937956,52.3362839937956
EC129,GINI,Poverty,20.005755426612374,20.005755426612374
EC129,HIV_PCT,Health,19.168247347574564,19.168247347574564
EC129,MORT_CHILD,Health,62.0935843080506,62.0935843080506
EC129,MURDER,Safety,31.753262555905387,31.753262555905387
EC129,CRIME,Safety,11.663158148062518,11.663158148062518
EC129,AUDIT_CLEAN,Governance,48.87625418766209,48.87625418766209
EC129,UNAUTH_PCT,Governance,49.267396120653736,49.267396120653736
EC131,POP_2022,Demographics,9.385694854865871,9.385694854865871
EC131,POP_DENSITY,Demographics,44.58963430927213,44.58963430927213
EC131,POP_GROWTH_PCT,Demographics,54.71166184856747,54.71166184856747
EC131,PCT_WATER,Infrastructure,47.48772903412526,47.48772903412526
EC131,PCT_SAN,Infrastructure,52.63962967522791,52.63962967522791
EC131,PCT_ELEC,Infrastructure,11.914618038185019,11.914618038185019
EC131,REV_PC,Finance,46.62080309992391,46.62080309992391
EC131,GRANT_PCT,Finance,33.947604810591066,33.947604810591066
EC131,SURPLUS_PCT,Finance,30.344196825507105,30.344196825507105
EC131,POV_PCT,Poverty,57.411112188394526,57.411112188394526
EC131,GINI,Poverty,69.5854902134846,69.5854902134846
EC131,HIV_PCT,Health,75.88740109200718,75.88740109200718
EC131,MORT_CHILD,Health,66.2961574301181,66.2961574301181
EC131,MURDER,Safety,37.80531636739633,37.80531636739633
EC131,CRIME,Safety,47.05440326052686,47.05440326052686
EC131,AUDIT_CLEAN,Governance,55.33645743568488,55.33645743568488
EC131,UNAUTH_PCT,Governance,42.42355898598924,42.42355898598924
EC135,POP_2022,Demographics,47.61528375823089,47.61528375823089
EC135,POP_DENSITY,Demographics,61.47506263752364,61.47506263752364
EC135,POP_GROWTH_PCT,Demographics,43.81434707948136,43.81434707948136
EC135,PCT_WATER,Infrastructure,30.414261272526772,30.414261272526772
EC135,PCT_SAN,Infrastructure,36.71053868328283,36.71053868328283
EC135,PCT_ELEC,Infrastructure,57.67820755467485,57.67820755467485
EC135,REV_PC,Finance,45.05986582399912,45.05986582399912
EC135,GRANT_PCT,Finance,51.804199537366756,51.804199537366756
EC135,SURPLUS_PCT,Finance,58.401584844043796,58.401584844043796
EC135,POV_PCT,Poverty,37.50317074204781,37.50317074204781
EC135,GINI,Poverty,60.12496327259612,60.12496327259612
EC135,HIV_PCT,Health,52.57685206916789,52.57685206916789
EC135,MORT_CHILD,Health,20.303738261770427,20.303738261770427
EC135,MURDER,Safety,73.84609582372488,73.84609582372488
EC135,CRIME,Safety,34.985105124861676,34.985105124861676
EC135,AUDIT_CLEAN,Governance,11.898093136296325,11.898093136296325
EC135,UNAUTH_PCT,Governance,24.099125808273953,24.099125808273953
EC136,POP_2022,Demographics,29.57909678643356,29.57909678643356
EC136,POP_DENSITY,Demographics,51.04346637315067,51.04346637315067
EC136,POP_GROWTH_PCT,Demographics,44.522989889075255,44.522989889075255
EC136,PCT_WATER,Infrastructure,43.263360647188144,43.263360647188144
EC136,PCT_SAN,Infrastructure,62.39403930964958,62.39403930964958
EC136,PCT_ELEC,Infrastructure,56.797507223854076,56.797507223854076
EC136,REV_PC,Finance,56.320957412885726,56.320957412885726
EC136,GRANT_PCT,Finance,58.19656914657385,58.19656914657385
EC136,SURPLUS_PCT,Finance,62.32269336004477,62.32269336004477
EC136,POV_PCT,Poverty,7.840933164451144,7.840933164451144
EC136,GINI,Poverty,42.711234954710775,42.711234954710775
EC136,HIV_PCT,Health,6.395798710210521,6.395798710210521
EC136,MORT_CHILD,Health,50.72119853595591,50.72119853595591
EC136,MURDER,Safety,49.907340555513095,49.907340555513095
EC136,CRIME,Safety,70.9106454957936,70.9106454957936
EC136,AUDIT_CLEAN,Governance,73.75268785442242,73.75268785442242
EC136,UNAUTH_PCT,Governance,54.055500965047344,54.055500965047344
EC137,POP_2022,Demographics,14.992778452062003,14.992778452062003
EC137,POP_DENSITY,Demographics,34.703222250914756,34.703222250914756
EC137,POP_GROWTH_PCT,Demographics,14.441647253513729,14.441647253513729
EC137,PCT_WATER,Infrastructure,24.97214697113302,24.97214697113302
EC137,PCT_SAN,Infrastructure,44.722726339215356,44.722726339215356
EC137,PCT_ELEC,Infrastructure,13.844573080211529,13.844573080211529
EC137,REV_PC,Finance,41.11357278485002,41.11357278485002
EC137,GRANT_PCT,Finance,38.54802737384605,38.54802737384605
EC137,SURPLUS_PCT,Finance,5.90416365738357,5.90416365738357
EC137,POV_PCT,Poverty,44.47788256434802,44.47788256434802
EC137,GINI,Poverty,38.971326907430104,38.971326907430104
EC137,HIV_PCT,Health,27.03851774745315,27.03851774745315
EC137,MORT_CHILD,Health,9.753530839446956,9.753530839446956
EC137,MURDER,Safety,7.815879628488599,7.815879628488599
EC137,CRIME,Safety,14.246748461939552,14.246748461939552
EC137,AUDIT_CLEAN,Governance,35.851889265839205,35.851889265839205
EC137,UNAUTH_PCT,Governance,5.887496651972043,5.887496651972043
EC138,POP_2022,Demographics,38.7502449723974,38.7502449723974
EC138,POP_DENSITY,Demographics,5.164889422432147,5.164889422432147
EC138,POP_GROWTH_PCT,Demographics,25.91862831122302,25.91862831122302
EC138,PCT_WATER,Infrastructure,32.19295509148017,32.19295509148017
EC138,PCT_SAN,Infrastructure,78.90260290117834,78.90260290117834
EC138,PCT_ELEC,Infrastructure,2.453686889592653,2.453686889592653
EC138,REV_PC,Finance,59.44029132980267,59.44029132980267
EC138,GRANT_PCT,Finance,32.9968482797456,32.9968482797456
EC138,SURPLUS_PCT,Finance,38.223438360319264,38.223438360319264
EC138,POV_PCT,Poverty,32.36695826776409,32.36695826776409
EC138,GINI,Poverty,38.89453636390466,38.89453636390466
EC138,HIV_PCT,Health,26.926297912759644,26.926297912759644
EC138,MORT_CHILD,Health,59.081003629149166,59.081003629149166
EC138,MURDER,Safety,20.870577115505554,20.870577115505554
